#####################################################################
# Alchemist log file - simulation started at: 2024-05-16T15:06+0000 #
#####################################################################
#
# seed = 14.0, areas = 3
#
# The columns have the following meaning: 
# time TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.1 1.87 2.46 2.38 0.00905 3.4441699981689453 5.107882618904114 4.115465881569045 0.2989534961888619 0.36585365853658536 0.7266187050359713 0.5576208023128535 0.010607613119014392
2.1 1.55 2.03 1.89 0.00775 2.47201144695282 4.370055913925171 3.4031477698257993 0.274485258807115 0.5611510791366906 0.7553956834532374 0.6571401415453003 0.0028041410413676077
3.1 1.33 1.78 1.63 0.00921 2.278127908706665 4.0260244607925415 3.0340331196784973 0.26023557223996024 0.5934959349593496 0.7697841726618705 0.6840966251389132 0.0020743912354022026
4.1 1.12 1.60 1.45 0.0106 2.1036834120750427 3.7687671184539795 2.7758915615933284 0.2501249668440943 0.6097560975609756 0.7769784172661871 0.7043518495308283 0.001661453849105805
5.1 1.12 1.46 1.31 0.00946 1.899218499660492 3.595671594142914 2.5817570281880244 0.24057607772811074 0.6097560975609756 0.7913669064748201 0.716744374535215 0.001845922433995177
6.1 1.01 1.35 1.20 0.00943 1.7365891933441162 3.480805277824402 2.433617670621191 0.23290160892162778 0.6341463414634146 0.7913669064748201 0.7229933822976462 0.0016546361910968292
7.1 0.926 1.26 1.12 0.00920 1.6042046546936035 3.3927599787712097 2.3160830629723415 0.2283501884092099 0.6504065040650406 0.7985611510791367 0.7327214883145748 0.0013421026749256318
8.1 0.860 1.19 1.05 0.00869 1.4961386919021606 3.324079155921936 2.2210877867681638 0.22481861005267148 0.6504065040650406 0.8129496402877698 0.736485724312536 0.0013045578476960518
9.1 0.809 1.13 0.994 0.00808 1.409074068069458 3.2623375058174133 2.1428137735596726 0.21979563400591454 0.6666666666666666 0.8057553956834532 0.7401267139598425 0.001161762039440392
10.1 0.768 1.08 0.948 0.00763 1.3396468758583069 3.2146003246307373 2.078008523476975 0.21797383634990117 0.6585365853658537 0.8211382113821138 0.7435723894751795 0.00132011065335441
11.1 0.735 1.04 0.910 0.00722 1.2806877493858337 3.175729513168335 2.0232489119682993 0.21677640182933655 0.6666666666666666 0.8292682926829268 0.7489054052924907 0.0012941726470120142
12.1 0.708 1.01 0.878 0.00662 1.2311401069164276 3.1384865045547485 1.9760391509958677 0.2139459063581218 0.6666666666666666 0.8373983739837398 0.7522675239599261 0.0012769250546802913
