#####################################################################
# Alchemist log file - simulation started at: 2024-05-16T13:43+0000 #
#####################################################################
#
# seed = 5.0, areas = 5
#
# The columns have the following meaning: 
# time TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.1 1.68 2.25 2.07 0.0112 1.7421921491622925 3.6034966707229614 2.407503660236086 0.3177907398968242 0.5390625 0.875 0.7255044063079777 0.005801604594181173
2.1 1.36 1.76 1.60 0.0178 1.3330305218696594 3.1534642577171326 1.982418226344245 0.286743546117913 0.625 0.890625 0.7674368042671614 0.004027706555782933
3.1 1.12 1.53 1.40 0.0228 1.1375856399536133 2.8996387720108032 1.788759913827692 0.24422740349246772 0.6640625 0.9140625 0.7845891552643784 0.0031244595570495354
4.1 0.967 1.39 1.27 0.0265 1.0098269283771515 2.7179712653160095 1.654853677643197 0.21016412949927304 0.6953125 0.921875 0.7910953443877551 0.0025588942565616495
5.1 0.819 1.34 1.17 0.0291 0.933489203453064 2.576928973197937 1.5560988661433968 0.18364027105684386 0.6796875 0.9140625 0.8012740607606679 0.0021849009699873817
6.1 0.783 1.31 1.09 0.0293 0.8794684410095215 2.4635339975357056 1.479055908641645 0.162996773404106 0.6875 0.921875 0.8051096503942486 0.002207738818257448
7.1 0.726 1.30 1.03 0.0306 0.8410650491714478 2.3719568848609924 1.4169008971324988 0.1469293217278813 0.6875 0.9140625 0.8084560528756958 0.0020506253107661432
8.1 0.682 1.30 0.984 0.0324 0.8118580877780914 2.296453297138214 1.3641706188874587 0.1344297728030994 0.703125 0.9140625 0.8124075979823747 0.0019786711694391394
9.1 0.646 1.30 0.944 0.0348 0.7893877327442169 2.2334765791893005 1.319098144237484 0.12464078533872046 0.7109375 0.9140625 0.8163808847402597 0.00190361304990805
10.1 0.617 1.31 0.911 0.0375 0.7706789076328278 2.1774832010269165 1.2794152072497778 0.1149420461690565 0.7109375 0.90625 0.8197725823283859 0.0018626119407330315
11.1 0.593 1.32 0.884 0.0411 0.7547760605812073 2.1285329461097717 1.2451735346445016 0.10878375957586488 0.7109375 0.90625 0.8223290381493507 0.001738861949177064
12.1 0.572 1.34 0.861 0.0455 0.7420761287212372 2.086924910545349 1.214927362544196 0.10359051186764617 0.7109375 0.90625 0.8273024408627088 0.001846633463496032
13.1 0.541 1.36 0.842 0.0507 0.7199413776397705 2.048258066177368 1.1878624867115701 0.09897484034230088 0.71875 0.90625 0.8311144770408163 0.001761239566809622
