#####################################################################
# Alchemist log file - simulation started at: 2024-05-06T10:35+0000 #
#####################################################################
#
# seed = 1.0, areas = 9
#
# The columns have the following meaning: 
# time TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.1 2.27 2.61 2.50 0.00727 1.2422534227371216 1.684891939163208 1.4926995294434684 0.014698119159248645 0.359375 0.9375 0.7371911337209303 0.026130113377086504
2.1 1.97 2.43 2.19 0.0176 0.9182731509208679 1.4355412721633911 1.1861437346254076 0.015243915315445363 0.46875 0.953125 0.7650734530730897 0.016574756082984372
3.1 1.74 2.33 2.00 0.0293 0.6979904770851135 1.2936978340148926 1.0127006087984358 0.019584814707628843 0.484375 0.953125 0.7937993147840532 0.012401378491434028
4.1 1.57 2.28 1.87 0.0435 0.5748796463012695 1.2155861854553223 0.9003661945462227 0.02287637899629528 0.5 0.953125 0.8130515469269103 0.01057886687382955
5.1 1.44 2.26 1.77 0.0574 0.4932352900505066 1.1664758920669556 0.8219190516642161 0.024937897968420032 0.578125 0.953125 0.830765936461794 0.008318981021065156
6.1 1.34 2.27 1.69 0.0750 0.43456220626831055 1.1221914291381836 0.7611507597778525 0.02742743057837373 0.59375 0.9534883720930233 0.8401097902823921 0.006420549090721972
7.1 1.26 2.28 1.62 0.0920 0.3928818702697754 1.0906908512115479 0.7132892991815295 0.028859116734105062 0.609375 0.96875 0.8494666216777409 0.005311054247071842
8.1 1.19 2.30 1.57 0.111 0.3605027198791504 1.0640100240707397 0.6754536681941576 0.030523658484581006 0.609375 0.984375 0.8568508617109635 0.005018301218385751
9.1 1.09 2.33 1.52 0.131 0.33538931608200073 1.0467522144317627 0.6449109204113483 0.031334683200558114 0.65625 0.96875 0.8620094476744186 0.004349322201573949
10.1 1.01 2.37 1.48 0.151 0.3145696818828583 1.033072829246521 0.619015791054283 0.03262270053141661 0.703125 0.96875 0.8653576619601329 0.0038938093278197946
11.1 0.939 2.41 1.44 0.173 0.2977994680404663 1.0225534439086914 0.597669684461185 0.03371856999483158 0.71875 0.96875 0.8687058762458472 0.0035575131748448612
12.1 0.877 2.47 1.41 0.196 0.283909410238266 1.0137622356414795 0.5791195545877729 0.034404941110866775 0.71875 0.96875 0.8745652512458472 0.003238104459695548
13.1 0.823 2.53 1.39 0.221 0.27188840508461 1.002894639968872 0.5636216646858625 0.035335953657028026 0.71875 0.96875 0.8765118874584718 0.0031213738498933044
