#####################################################################
# Alchemist log file - simulation started at: 2024-05-16T13:10+0000 #
#####################################################################
#
# seed = 1.0, areas = 3
#
# The columns have the following meaning: 
# time TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.1 1.94 2.46 2.40 0.00533 3.3173869848251343 5.1892194747924805 4.1733260069574625 0.42504743610164103 0.3821138211382114 0.7338129496402878 0.5936390260613809 0.0074953345272878134
2.1 1.58 2.03 1.91 0.00564 2.488961935043335 4.503171920776367 3.427604519895145 0.3612508893787525 0.5251798561151079 0.7553956834532374 0.663332748435398 0.0030861838332671204
3.1 1.32 1.81 1.64 0.0108 2.1095165610313416 4.206759333610535 3.0382386222481728 0.34620623152428504 0.5528455284552846 0.762589928057554 0.6893513064113169 0.0026084368257149955
4.1 1.22 1.64 1.46 0.0133 1.951081931591034 3.9807238578796387 2.7669578875814165 0.32985583651107486 0.5934959349593496 0.7697841726618705 0.7058704952414375 0.002318697734233799
5.1 1.16 1.51 1.32 0.0128 1.7426989078521729 3.793827176094055 2.5663414991327693 0.2998268391924945 0.6178861788617886 0.7769784172661871 0.7145990524653448 0.0021106171078332757
6.1 1.05 1.40 1.22 0.0126 1.5869474411010742 3.640803098678589 2.4128531920058385 0.28401144363047603 0.6097560975609756 0.7913669064748201 0.7213901352785368 0.0020274275613814414
7.1 0.969 1.31 1.13 0.0116 1.472156584262848 3.512089252471924 2.2933241991060123 0.26479175016003415 0.6260162601626016 0.7985611510791367 0.7270417115784724 0.001976307694251797
8.1 0.905 1.23 1.06 0.0103 1.3827515840530396 3.409448504447937 2.1974278581993922 0.2526130518420196 0.6260162601626016 0.7985611510791367 0.7335873461509538 0.0018996357891989525
9.1 0.854 1.17 1.01 0.00943 1.3129909038543701 3.319892406463623 2.1193211153149605 0.23964615995900113 0.6422764227642277 0.8048780487804879 0.7389934742101789 0.001900745135455276
10.1 0.813 1.12 0.965 0.00850 1.2572530508041382 3.245564103126526 2.0539826905088767 0.23134155040566853 0.6585365853658537 0.8129496402877698 0.7430313588850175 0.001954777768480459
11.1 0.780 1.08 0.927 0.00789 1.2113443613052368 3.181466281414032 1.9996366878705365 0.22299706924998586 0.6585365853658537 0.8130081300813008 0.7466671262293301 0.0018265820084662284
12.1 0.753 1.04 0.896 0.00710 1.1715373694896698 3.128052532672882 1.9519910828343459 0.21628087807010365 0.6666666666666666 0.8201438848920863 0.7506266763592611 0.0018798330423914305
