#####################################################################
# Alchemist log file - simulation started at: 2024-05-16T15:23+0000 #
#####################################################################
#
# seed = 16.0, areas = 3
#
# The columns have the following meaning: 
# time TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.1 1.84 2.47 2.40 0.00858 3.2509689331054688 5.2621400356292725 4.192341664007732 0.5133098973413152 0.4146341463414634 0.7194244604316546 0.5841699462729468 0.005261955128223228
2.1 1.51 2.08 1.90 0.0114 2.416367530822754 4.562657833099365 3.444389248532908 0.4862131280977689 0.5528455284552846 0.7482014388489209 0.6618819926637087 0.0020218782032175703
3.1 1.30 1.86 1.63 0.0180 2.0756630301475525 4.153263449668884 3.04849452738251 0.4594672691172115 0.5971223021582733 0.7967479674796748 0.690022894576325 0.0020552812302093624
4.1 1.15 1.69 1.45 0.0221 1.7889129519462585 3.8998690843582153 2.78395248736654 0.4407581430976504 0.5971223021582733 0.8130081300813008 0.7007401047802873 0.0022085813363253233
5.1 1.12 1.54 1.31 0.0213 1.5855530500411987 3.705142855644226 2.5868840270808766 0.4061817464782882 0.6115107913669064 0.8130081300813008 0.7139587981182998 0.002048160932040351
6.1 1.00 1.45 1.21 0.0210 1.4351906776428223 3.5441682934761047 2.4369321039744785 0.38835460126619753 0.6115107913669064 0.8130081300813008 0.7222298815999465 0.0020594558959096277
7.1 0.918 1.36 1.12 0.0197 1.3232553005218506 3.4138957262039185 2.3181157388857434 0.36879214630937984 0.6258992805755396 0.8292682926829268 0.72889249575949 0.002125140928728099
8.1 0.853 1.29 1.06 0.0180 1.2368268966674805 3.301675856113434 2.222660674580506 0.35120970008419433 0.6258992805755396 0.8455284552845529 0.7360742068366213 0.0022518020063765657
9.1 0.802 1.23 1.00 0.0165 1.1688151359558105 3.2071781158447266 2.145232666283846 0.33504389283510366 0.6187050359712231 0.8536585365853658 0.7391626768271794 0.0024186126554913935
10.1 0.761 1.18 0.959 0.0151 1.1140369772911072 3.131363272666931 2.07942002585956 0.3228009606213796 0.6187050359712231 0.8536585365853658 0.7430553814787891 0.002418981697458779
11.1 0.729 1.14 0.922 0.0140 1.0692572891712189 3.084550678730011 2.0252766481467654 0.3124887504913493 0.6187050359712231 0.8536585365853658 0.7470765547840473 0.0024059156895797555
12.1 0.701 1.10 0.891 0.0127 1.0318086445331573 3.0471314787864685 1.9781553218407288 0.30229749543051787 0.6187050359712231 0.8617886178861789 0.750031333817963 0.0023907652289798433
