#####################################################################
# Alchemist log file - simulation started at: 2024-05-16T15:14+0000 #
#####################################################################
#
# seed = 15.0, areas = 3
#
# The columns have the following meaning: 
# time TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.1 1.91 2.42 2.36 0.00463 3.3434234857559204 4.848733305931091 4.075908722622054 0.2902334523148169 0.34146341463414637 0.7122302158273381 0.573676250637121 0.0094656391413878
2.1 1.55 1.98 1.89 0.00556 2.6008130311965942 4.198049068450928 3.416721005524908 0.29329736725014055 0.5853658536585366 0.7410071942446043 0.6679879093241087 9.93549384951003E-4
3.1 1.35 1.75 1.63 0.00695 2.341774344444275 3.8606523275375366 3.057911954820156 0.2807019153864289 0.6178861788617886 0.7482014388489209 0.6876968808228678 8.813136384402457E-4
4.1 1.26 1.59 1.45 0.00890 2.0179752707481384 3.6500049829483032 2.8087722456880977 0.27387526258759126 0.6178861788617886 0.762589928057554 0.6979117054788225 9.440613404043043E-4
5.1 1.14 1.47 1.32 0.00970 1.967927098274231 3.49116313457489 2.6244405061006546 0.2596049364730495 0.6260162601626016 0.7697841726618705 0.7061493662213086 9.444640975444908E-4
6.1 1.03 1.37 1.21 0.0105 1.8298588395118713 3.37248694896698 2.483959136264665 0.24882665056836353 0.6260162601626016 0.7769784172661871 0.7161344095455343 0.0010013661212522893
7.1 0.946 1.29 1.13 0.0106 1.725168228149414 3.2773051261901855 2.3712629612003053 0.24060745729009173 0.6341463414634146 0.7985611510791367 0.7260076955856918 0.0012142781716792924
8.1 0.882 1.22 1.07 0.0103 1.6444317698478699 3.1987341046333313 2.2820663516010558 0.23098513080966265 0.6546762589928058 0.8057553956834532 0.731552736904553 0.0011697038664302438
9.1 0.832 1.16 1.01 0.00985 1.5786989331245422 3.1326797008514404 2.2068035123603686 0.22302564399793615 0.6546762589928058 0.7913669064748201 0.7366852162869008 9.161382163655265E-4
10.1 0.791 1.12 0.969 0.00949 1.5243911147117615 3.074844241142273 2.144700177013874 0.21566148522695383 0.6546762589928058 0.7985611510791367 0.7420130098012183 9.293031538517125E-4
11.1 0.758 1.07 0.932 0.00889 1.4454562664031982 3.023788869380951 2.091127971453326 0.2093222863274704 0.6402877697841727 0.8129496402877698 0.7459057144528279 0.0011043116660042714
12.1 0.732 1.04 0.901 0.00831 1.4392678141593933 2.9801990389823914 2.044826913625002 0.20230604607355532 0.6474820143884892 0.8129496402877698 0.7486254898520208 0.0011498800068203048
