#####################################################################
# Alchemist log file - simulation started at: 2024-05-16T15:43+0000 #
#####################################################################
#
# seed = 19.0, areas = 9
#
# The columns have the following meaning: 
# time TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.1 1.18 2.00 1.75 0.0200 0.826854407787323 1.5864840149879456 1.22711158650262 0.030650613688416265 0.7265625 0.9418604651162791 0.8642156353820598 0.001934543986954601
2.1 0.958 1.43 1.28 0.00957 0.6938141882419586 1.3422757387161255 0.969962403178215 0.026298492547679395 0.765625 0.9375 0.8692866227159468 0.0017259993400471107
3.1 0.896 1.37 1.12 0.0156 0.5893447399139404 1.2700122594833374 0.8849373646080494 0.02934032519877131 0.78125 0.9453125 0.8751265313538206 0.0017454847364069368
4.1 0.684 1.35 1.03 0.0273 0.5246480703353882 1.2252610325813293 0.8336167287613664 0.03107141611266228 0.78125 0.9453125 0.8770115240863787 0.0015973053821980818
5.1 0.637 1.36 0.967 0.0372 0.48175741732120514 1.1941852569580078 0.7973668330482073 0.031339743657872544 0.78125 0.9453125 0.8797270816029901 0.0015739459941484855
6.1 0.563 1.37 0.921 0.0472 0.45344677567481995 1.1726385354995728 0.7698049633098499 0.032282871102013264 0.7890625 0.953125 0.8830720514950166 0.0015654731129892952
7.1 0.509 1.39 0.886 0.0566 0.4334243983030319 1.1549549102783203 0.747309992888144 0.03276253142560841 0.796875 0.953125 0.8846034053156147 0.0015083440043933893
8.1 0.469 1.42 0.859 0.0660 0.4180491864681244 1.1422832608222961 0.7289724041308675 0.033513233942054896 0.796875 0.9609375 0.8855085911544851 0.0015522414805205496
9.1 0.437 1.51 0.840 0.0766 0.40475910902023315 1.1320732831954956 0.7135228349694185 0.03406175910146618 0.8046875 0.9609375 0.8896159935631229 0.0014657055099208758
10.1 0.411 1.51 0.823 0.0860 0.3937670737504959 1.1202340126037598 0.6997092025620596 0.034581274198296506 0.8125 0.9609375 0.8916372508305648 0.001453200114916013
11.1 0.389 1.56 0.812 0.0978 0.3843238353729248 1.1131778359413147 0.6879757765148368 0.035248430040322715 0.8046875 0.9609375 0.8933794902408638 0.001497906117271374
12.1 0.371 1.63 0.805 0.111 0.37572431564331055 1.1066269278526306 0.6775069606623478 0.03587517007697595 0.8125 0.9609375 0.8944241850083057 0.0014862044363489469
13.1 0.355 1.73 0.803 0.129 0.3633878380060196 1.1000685095787048 0.6679853323314872 0.03639842699615491 0.8046875 0.9609375 0.89484271179402 0.0014972146365752291
