#####################################################################
# Alchemist log file - simulation started at: 2024-04-23T16:38+0000 #
#####################################################################
#
# seed = 1.0, repetition = 1.0, areas = 2, dataShuffle = true, lossThreshold = 40.0
#
# The columns have the following meaning: 
# time AreaCount AreaDiscrepancy0 AreaDiscrepancy1 AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 1.0 Infinity NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
22.1 2.0 0.0856759138405323 0.08765526860952377 1.0 0.33591176081626195 0.36320957976082957 0.8917400293450715 0.460 0.882 0.672 0.0195 0.24713847041130066 1.1942030489444733 0.7264191595216591 0.1004285934393521 0.826530612244898 0.9607843137254902 0.8917400293450713 0.002280969562209787
23.1 2.0 0.1190492610136668 0.11811453228195508 1.0 0.29951996258681735 0.3417466823011637 0.8942243564092305 0.450 0.788 0.599 0.0165 0.24713847041130066 1.1146233081817627 0.6834933646023273 0.09110034227713498 0.8163265306122449 0.9607843137254902 0.8942243564092304 0.0022020691818022513
24.1 2.0 0.14072332034508386 0.14105452845493952 1.0 0.27605233900249004 0.32486824799949926 0.8968087234893958 0.421 0.712 0.552 0.0145 0.21650739014148712 1.0531251430511475 0.6497364959989984 0.08698817904131763 0.8367346938775511 0.9607843137254902 0.8968087234893958 0.0017703696488235512
25.1 2.0 0.0880436822772026 0.0823538601398468 1.0 0.30512673758147724 0.3268311854141454 0.9009270374816594 0.475 0.740 0.610 0.0132 0.2204243689775467 1.0365875363349915 0.6536623708282907 0.08391170463957255 0.826530612244898 0.9803921568627451 0.9009270374816594 0.002258940124002113
26.1 2.0 0.1184865136941274 0.12169253081083298 1.0 0.27407090255014954 0.31543373207872116 0.8984427104175003 0.385 0.719 0.548 0.0145 0.17266278713941574 1.0365875363349915 0.6308674641574423 0.08638952277254307 0.826530612244898 0.9705882352941176 0.8984427104175003 0.001998445406270721
27.1 2.0 0.14790435383717218 0.1375245377421379 1.0 0.25492916642022984 0.30469153720575076 0.9001433906896092 0.363 0.656 0.510 0.0108 0.17266278713941574 1.0067231357097626 0.6093830744115014 0.08082979191769019 0.826530612244898 0.9705882352941176 0.9001433906896091 0.0017765078917691226
28.1 2.0 0.09019346162676811 0.08008432264129321 1.0 0.28387403838513864 0.30834358759845293 0.9010604241696679 0.447 0.716 0.568 0.0105 0.18966349214315414 1.0155151784420013 0.6166871751969059 0.07857349195233067 0.8367346938775511 0.9803921568627451 0.9010604241696678 0.0016237096169909614
29.1 2.0 0.12248770147562027 0.11296697954336803 1.0 0.25277913681098396 0.3008681917563081 0.9034113645458184 0.389 0.641 0.506 0.00961 0.16786987334489822 0.9984285235404968 0.6017363835126162 0.07977739438064121 0.8367346938775511 0.9803921568627451 0.9034113645458183 0.0019627708116969366
30.1 2.0 0.14639379580815634 0.1366671696305275 1.0 0.235147147616815 0.2951263228120903 0.907529678538082 0.338 0.587 0.470 0.00888 0.1616417020559311 0.9832773506641388 0.5902526456241806 0.07967642464825839 0.8367346938775511 0.9901960784313726 0.9075296785380819 0.0021721143136095677
31.1 2.0 0.08029729252060254 0.08080610384543736 1.0 0.26480165115069776 0.29280071348572767 0.9075963718820863 0.415 0.660 0.530 0.0103 0.1616417020559311 0.952699214220047 0.5856014269714553 0.07222532809520364 0.8469387755102041 0.9901960784313726 0.9075963718820862 0.0018433495362081929
32.1 2.0 0.11541155849893887 0.11193529516458511 1.0 0.2370074541263637 0.2882118195605775 0.907529678538082 0.351 0.593 0.474 0.00906 0.13770735636353493 0.9462405741214752 0.576423639121155 0.07661165537687878 0.8469387755102041 0.9803921568627451 0.9075296785380819 0.00200755360045967
33.1 2.0 0.1405163804690043 0.12062937021255493 1.0 0.22071612710576682 0.28264918325779337 0.910047352274243 0.309 0.557 0.441 0.00886 0.12152576446533203 0.9450443089008331 0.5652983665155868 0.07781361310545348 0.8469387755102041 0.9901960784313726 0.910047352274243 0.002010542354621163
34.1 2.0 0.07563702513774236 0.08663349598646164 1.0 0.24987540261021685 0.28008771361783147 0.9093303988261972 0.343 0.627 0.500 0.0109 0.11827296763658524 0.9334403574466705 0.5601754272356629 0.07207228609212618 0.8469387755102041 0.9803921568627451 0.9093303988261972 0.0015248766270183232
35.1 2.0 0.11250284935037295 0.11185692995786667 1.0 0.22203180173944148 0.2814504252746701 0.9100806989462452 0.313 0.566 0.444 0.00888 0.11827296763658524 0.9482144117355347 0.5629008505493402 0.07344527560127606 0.8469387755102041 0.9803921568627451 0.9100806989462451 0.0018051999317194463
36.1 2.0 0.13462022691965103 0.143171397348245 1.0 0.20739843656441992 0.27774645302755135 0.9093303988261972 0.286 0.569 0.415 0.00987 0.10696694999933243 0.9482144117355347 0.5554929060551028 0.07292374322764636 0.8571428571428571 0.9803921568627451 0.9093303988261972 0.0015074008309958154
37.1 2.0 0.0791366125146548 0.08127943923075993 1.0 0.23768435394214021 0.27162530172305804 0.9142990529545152 0.359 0.589 0.475 0.00902 0.12322928011417389 0.9217710196971893 0.543250603446116 0.06737953462270416 0.8571428571428571 0.9803921568627451 0.9142990529545151 0.0015706841748182661
38.1 2.0 0.11191483462850253 0.11599965145190556 1.0 0.21150502892920658 0.2729424459006016 0.9124983326663999 0.296 0.528 0.423 0.00870 0.09260263293981552 0.9349988698959351 0.5458848918012034 0.07252600264016949 0.8469387755102041 0.9901960784313726 0.9124983326663999 0.0022141442945058515
39.1 2.0 0.13820099830627441 0.14266463617483774 1.0 0.19781802157827078 0.2733325948162625 0.9125316793384021 0.261 0.562 0.396 0.00974 0.09260263293981552 0.9570778608322144 0.546665189632525 0.07172616472425751 0.8469387755102041 0.9901960784313726 0.912531679338402 0.002081438150823888
40.1 2.0 0.08300639316439629 0.08028275022904079 1.0 0.2274051510418455 0.2677183013486986 0.9135154061624651 0.341 0.582 0.455 0.00756 0.10560525953769684 0.9299083948135376 0.5354366026973973 0.06696227342076744 0.8571428571428571 0.9901960784313726 0.913515406162465 0.001553832817640864
41.1 2.0 0.11081836372613907 0.11808526267608006 1.0 0.20226113713302074 0.26989257731474936 0.9125316793384021 0.280 0.518 0.405 0.00840 0.09588498622179031 0.9551143646240234 0.5397851546294987 0.06979188803666632 0.8571428571428571 0.9901960784313726 0.912531679338402 0.002081438150823889
42.1 2.0 0.14356560756762823 0.14081838726997375 1.0 0.18940343034808477 0.2709275218658149 0.9142323596105109 0.246 0.482 0.379 0.00724 0.09357787296175957 0.9914754629135132 0.5418550437316298 0.07211475456215564 0.8571428571428571 0.9901960784313726 0.9142323596105109 0.0019470288266882553
43.1 2.0 0.07575724149743716 0.09801455835501353 1.0 0.21803810755677877 0.2634545410207162 0.9168834200346806 0.320 0.561 0.436 0.00799 0.09357787296175957 0.9278503656387329 0.5269090820414324 0.06787120495327857 0.8673469387755102 0.9901960784313726 0.9168834200346805 0.0014466586105745984
44.1 2.0 0.11540204286575317 0.11640539765357971 1.0 0.1936972247148376 0.26409630122361705 0.9150826997465653 0.264 0.503 0.387 0.00689 0.08257501386106014 0.9612458646297455 0.5281926024472341 0.07014750570950602 0.8571428571428571 0.9901960784313726 0.9150826997465653 0.001889107043984122
45.1 2.0 0.1435197318593661 0.14162242909272513 1.0 0.18278546075868818 0.2692335398751311 0.9126317193544085 0.239 0.473 0.366 0.00606 0.08065185695886612 1.0180862843990326 0.5384670797502622 0.07606814254640278 0.8571428571428571 0.9901960784313726 0.9126317193544085 0.0016964138293342262
46.1 2.0 0.07577372839053471 0.08556180944045384 1.0 0.21056500276816742 0.2584452000834669 0.917733760170735 0.285 0.554 0.421 0.00807 0.08085356280207634 0.9383476078510284 0.5168904001669337 0.06652588101204267 0.8673469387755102 0.9901960784313726 0.9177337601707349 0.0013124594545398177
47.1 2.0 0.11080433304111163 0.11707439521948497 1.0 0.18787138291545924 0.2656505321889805 0.9193344004268375 0.261 0.480 0.376 0.00669 0.08085356280207634 0.9869147539138794 0.531301064377961 0.07081441097859521 0.8673469387755102 0.9901960784313726 0.9193344004268373 0.001454966164379342
48.1 2.0 0.13587585588296255 0.1452138970295588 1.0 0.17584033130801147 0.26656180385422584 0.9201847405628919 0.230 0.492 0.352 0.00821 0.07603694498538971 1.0292749404907227 0.5331236077084516 0.07533683750769155 0.8775510204081632 0.9901960784313726 0.9201847405628918 0.0014050544247917322
49.1 2.0 0.08466888839999835 0.08197506268819173 1.0 0.20357989550878602 0.254348523177517 0.920218087234894 0.286 0.524 0.407 0.00663 0.0905682947486639 0.9488123059272766 0.508697046355034 0.065845625108261 0.8775510204081632 0.9901960784313726 0.920218087234894 0.0012863534223758995
50.1 2.0 0.11430443202455838 0.1176878164211909 1.0 0.18043570031988476 0.26267621136503294 0.9193677470988396 0.244 0.462 0.361 0.00690 0.06841993890702724 1.01329106092453 0.5253524227300659 0.07335790496541138 0.8673469387755102 0.9901960784313726 0.9193677470988395 0.0013581699550204605
51.1 2.0 0.14691557983557382 0.1400099421540896 1.0 0.16901538956777323 0.26844547586127493 0.9210017340269442 0.211 0.425 0.338 0.00592 0.06841993890702724 1.0499709248542786 0.53689095172255 0.07880768854958194 0.8673469387755102 0.9901960784313726 0.9210017340269441 0.0014519382880172577
52.1 2.0 0.08531635999679565 0.08397185678283374 1.0 0.19780173496387546 0.25747081643203273 0.9227357609710551 0.286 0.520 0.396 0.00576 0.0862036868929863 1.0023032426834106 0.5149416328640655 0.07134196813689625 0.8775510204081632 0.9901960784313726 0.9227357609710551 0.0012778936255890072
53.1 2.0 0.11745751152435939 0.11703153451283772 1.0 0.17367313787828953 0.26748148989281617 0.9227357609710551 0.239 0.450 0.347 0.00575 0.07714243978261948 1.1087128221988678 0.5349629797856323 0.08166335338090129 0.8775510204081632 0.9901960784313726 0.922735760971055 0.001207990441498971
54.1 2.0 0.1468112717072169 0.14196398854255676 1.0 0.16401891130954027 0.2710516598308459 0.9244364412431639 0.209 0.420 0.328 0.00546 0.08354828506708145 1.1087128221988678 0.5421033196616918 0.0803225670867195 0.8775510204081632 0.9901960784313726 0.9244364412431639 0.0011128998387767441
55.1 2.0 0.07729669908682506 0.08988046646118164 1.0 0.19327569619885512 0.2594317183829844 0.9244364412431639 0.235 0.505 0.387 0.00721 0.08354828506708145 1.04466313123703 0.5188634367659688 0.07479885351369707 0.8775510204081632 0.9901960784313726 0.9244364412431639 0.001165327226844271
56.1 2.0 0.1162679282327493 0.11685394495725632 1.0 0.16945334426349118 0.26684162313661847 0.9243697478991597 0.235 0.438 0.339 0.00528 0.07751394435763359 1.0861188173294067 0.533683246273237 0.08087012214623437 0.8775510204081632 0.9901960784313726 0.9243697478991597 0.0012882958851262144
57.1 2.0 0.14010847608248392 0.14917974919080734 1.0 0.159048304227846 0.26598692656261846 0.9235861011071096 0.200 0.465 0.318 0.00693 0.0649267490953207 1.125836044549942 0.5319738531252369 0.08057575579270505 0.8775510204081632 0.9901960784313726 0.9235861011071095 0.0011706997057860094
58.1 2.0 0.07826571042339008 0.08902309959133466 1.0 0.1896500905887002 0.25930022343527526 0.9244030945711619 0.254 0.495 0.379 0.00661 0.07398118078708649 1.047494113445282 0.5186004468705505 0.07437740603894 0.8775510204081632 0.9901960784313726 0.9244030945711618 0.0012086091181594935
59.1 2.0 0.11575575048724811 0.11588285863399506 1.0 0.16546531670194653 0.2677130814699922 0.9260370814992664 0.223 0.430 0.331 0.00574 0.07398118078708649 1.0968767404556274 0.5354261629399844 0.07913674703825713 0.8775510204081632 0.9901960784313726 0.9260370814992663 0.0013019019192917333
60.1 2.0 0.1397789567708969 0.14919124295314154 1.0 0.15610437573576788 0.27470258926041424 0.9244030945711619 0.191 0.442 0.312 0.00706 0.07123439386487007 1.1719761788845062 0.5494051785208285 0.08927441030168576 0.8673469387755102 0.9901960784313726 0.9244030945711618 0.0012857908511968456
61.1 2.0 0.08173839127024014 0.09952535728613536 1.0 0.18408781201356933 0.260587122834598 0.9252534347072162 0.259 0.477 0.368 0.00622 0.07858787477016449 1.065453439950943 0.5211742456691961 0.07363287170742173 0.8775510204081632 0.9901960784313726 0.9252534347072162 0.0011682249991439217
62.1 2.0 0.11441561579704285 0.12030124415953954 1.0 0.1614623943321584 0.2695969803122959 0.925186741363212 0.217 0.418 0.323 0.00592 0.06681988574564457 1.123372107744217 0.5391939606245917 0.08247132715510942 0.8775510204081632 0.9901960784313726 0.925186741363212 0.0013451956382489947
63.1 2.0 0.14264212548732758 0.14920433859030405 1.0 0.15248871747670428 0.27185704513491754 0.9277711084433773 0.187 0.415 0.305 0.00661 0.06681988574564457 1.0988361835479736 0.543714090269835 0.08540520227122197 0.8877551020408163 0.9901960784313726 0.9277711084433773 0.0010971539112207146
64.1 2.0 0.08288160214821498 0.08520059784253438 1.0 0.18083048191675472 0.2602828140661586 0.9269541149793251 0.244 0.475 0.362 0.00540 0.07589501328766346 1.0988361835479736 0.5205656281323172 0.08091645773133936 0.8775510204081632 0.9901960784313726 0.926954114979325 0.0011351512727273123
65.1 2.0 0.11119194328784943 0.12169443815946579 1.0 0.15841449070943608 0.2711157491333627 0.9243697478991597 0.209 0.413 0.317 0.00542 0.07051520980894566 1.14834263920784 0.5422314982667256 0.0858541866173177 0.8775510204081632 0.9901960784313726 0.9243697478991597 0.0012882958851262144
66.1 2.0 0.14525781820217767 0.1437374378244082 1.0 0.14894814692836789 0.27934830986487214 0.9235527544351074 0.179 0.385 0.298 0.00507 0.07479512691497803 1.2830055356025696 0.5586966197297443 0.105857899252317 0.8673469387755102 0.9901960784313726 0.9235527544351073 0.001344984560329522
67.1 2.0 0.08217255895336469 0.08377076064546903 1.0 0.17748051386193503 0.26492861433750176 0.926954114979325 0.245 0.465 0.355 0.00508 0.07479512691497803 1.1382148563861847 0.5298572286750034 0.08527163382427344 0.8775510204081632 0.9901960784313726 0.926954114979325 0.0011540827785392845
68.1 2.0 0.11657362679640453 0.11765416463216145 1.0 0.1562757890815625 0.27451150299748406 0.9277044150993731 0.208 0.410 0.313 0.00534 0.07153501082211733 1.1524276733398438 0.5490230059949681 0.08546830283764957 0.8775510204081632 0.9901960784313726 0.9277044150993731 0.0012919666999786448
69.1 2.0 0.14514827728271484 0.1446525901556015 1.0 0.14753235372093815 0.2867760985100176 0.9285547552354275 0.175 0.385 0.295 0.00579 0.07002760283648968 1.320702314376831 0.5735521970200352 0.1107767413026517 0.8673469387755102 0.9901960784313726 0.9285547552354275 0.001321183705271795
70.1 2.0 0.07998271659016609 0.08984361092249553 1.0 0.17491077345662887 0.26753376997172984 0.9261371215152727 0.232 0.463 0.350 0.00622 0.07874710019677877 1.1911925971508026 0.5350675399434597 0.08998855523265846 0.8775510204081632 0.9901960784313726 0.9261371215152727 0.0011017891338086646
71.1 2.0 0.11392145107189815 0.13543384025494257 1.0 0.15290868785121434 0.2762818441721417 0.926954114979325 0.200 0.400 0.306 0.00583 0.07874710019677877 1.1662340462207794 0.5525636883442833 0.08818568541793134 0.8775510204081632 0.9901960784313726 0.926954114979325 0.0011016553904717578
72.1 2.0 0.14217092096805573 0.1524511600534121 1.0 0.1441076404160066 0.28821966708831803 0.9302887821795385 0.172 0.405 0.288 0.00618 0.07433423865586519 1.3852175176143646 0.5764393341766361 0.12141127894984645 0.8877551020408163 0.9901960784313726 0.9302887821795385 0.0010326401893532948
73.1 2.0 0.0822749026119709 0.09102442984779675 1.0 0.17186397448226454 0.2744802098265306 0.9278044551153795 0.201 0.440 0.344 0.00624 0.08213444612920284 1.187400370836258 0.5489604196530611 0.0896545033125942 0.8877551020408163 0.9901960784313726 0.9278044551153795 9.997438775672758E-4
74.1 2.0 0.11616176118453343 0.12202418595552444 1.0 0.15098424765303553 0.279531123250005 0.9277711084433774 0.195 0.384 0.302 0.00558 0.06315055768936872 1.2028483748435974 0.5590622465000099 0.0958795385636786 0.8877551020408163 0.9901960784313726 0.9277711084433773 0.0011175411268221505
75.1 2.0 0.14991353203852972 0.14748447636763254 1.0 0.1404144169674033 0.2921604003980368 0.9311724689875951 0.166 0.406 0.281 0.00601 0.06315055768936872 1.3776503205299377 0.5843208007960736 0.12344390425659565 0.8877551020408163 0.9901960784313726 0.9311724689875951 9.535845332348812E-4
76.1 2.0 0.08639902124802272 0.08579855288068454 1.0 0.16983022769203499 0.2706634947486843 0.9278044551153795 0.231 0.441 0.340 0.00490 0.07194828614592552 1.2348323464393616 0.5413269894973685 0.09758707309962601 0.8775510204081632 0.9901960784313726 0.9278044551153795 0.001127897288882692
77.1 2.0 0.11884729812542598 0.11720497906208038 1.0 0.14854384775251328 0.2806112366112454 0.9302887821795385 0.190 0.390 0.297 0.00563 0.07539770565927029 1.2106520533561707 0.5612224732224906 0.09597810746522174 0.8877551020408163 0.9901960784313726 0.9302887821795385 0.0011054547930222575
78.1 2.0 0.1488830198844274 0.14874597638845444 1.0 0.13845782955398872 0.2911881467637916 0.9302554355075363 0.166 0.367 0.277 0.00495 0.06859091948717833 1.4021733403205872 0.5823762935275834 0.12561272201371884 0.8775510204081632 0.9901960784313726 0.9302554355075363 0.0012045012870973515
79.1 2.0 0.0819786104063193 0.09217942009369533 1.0 0.1669640749127471 0.2719133805027619 0.9269541149793251 0.229 0.432 0.334 0.00523 0.06859091948717833 1.2555840909481049 0.5438267610055239 0.10155635317221527 0.8877551020408163 0.9901960784313726 0.926954114979325 0.00111621976691534
80.1 2.0 0.12019289533297221 0.1203309843937556 1.0 0.14747353180843806 0.28624735729924095 0.9303221288515406 0.186 0.388 0.295 0.00543 0.07898008171468973 1.2505151629447937 0.5724947145984818 0.10040209064307572 0.8877551020408163 0.9901960784313726 0.9303221288515406 9.918414963205992E-4
#####################################################################
# End of data export. Simulation finished at: 2024-04-23T16:41+0000 #
#####################################################################
