#####################################################################
# Alchemist log file - simulation started at: 2024-05-09T23:56+0000 #
#####################################################################
#
# seed = 10.0, areas = 9, lossThreshold = 40.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 0.0 Infinity 0.0 NaN NaN NaN 2.64 2.64 2.64 0.00 1.6379637718200684 1.6379637718200684 1.6379637718200684 0.0 0.8837209302325582 0.8837209302325582 0.8837209302325582 0.0
1.1 1.0 0.18699372688561308 20.0 2.4110551198461545 1.3975997559818218 0.722322037395923 0.803 2.67 2.42 0.0603 0.4963397979736328 1.8028830289840698 1.4108997647251402 0.04178141371115019 0.203125 0.953125 0.7404485049833888 0.030521669970780967
2.1 6.0 0.3201679970011299 27.0 0.8946838386648108 0.554966633150607 0.8563087675854147 0.360 1.11 0.894 0.0156 0.32293325662612915 0.7719231843948364 0.5452615086521421 0.011735763184129758 0.71875 0.953125 0.8606597799003323 0.0034058065606606402
3.1 6.0 0.47471216431370483 27.0 0.41710644365200167 0.37088572620241733 0.8728141598478324 0.297 0.568 0.405 0.00636 0.19207006692886353 0.5990839600563049 0.35674488038889 0.009526076764572358 0.734375 0.984375 0.8784650124584718 0.002496377631018084
4.1 6.0 0.5728794373111961 25.0 1.7129025177248283 0.8421739155863537 0.8013397663652024 0.159 4.62 1.68 2.03 0.1336343139410019 2.1547417640686035 0.8251878555331911 0.2894739938703165 0.0 0.984375 0.8061928986710963 0.023946549485111292
5.1 5.0 0.6909562411867542 25.0 0.551890444746356 0.41645834640956214 0.8767091946597761 0.111 1.26 0.536 0.0965 0.11106137186288834 0.737675130367279 0.40225804450788666 0.023872785023752716 0.78125 0.984375 0.8819365137043189 0.002326912719952058
6.1 5.0 0.8049636955982373 25.0 0.3068931398897934 0.3210269423822562 0.8869834284381279 0.0903 0.526 0.294 0.0143 0.09807763248682022 0.5417559146881104 0.30809534527361393 0.010067525854085465 0.78125 1.0 0.8915658741694352 0.0022663883156364573
7.1 8.0 0.45471633391247857 22.0 1.1369135067664056 0.5882559855595048 0.8230344261412577 0.130 4.38 1.09 1.26 0.0833214521408081 1.8521857261657715 0.5625024041427031 0.1880614521308852 0.078125 0.9767441860465116 0.8395257994186046 0.0316648317008157
8.1 15.0 0.5794829781408664 15.0 0.37546459272304555 0.3350749722233525 0.8915558606086706 0.0820 1.11 0.364 0.0479 0.0833214521408081 0.6914314031600952 0.3237565429881215 0.014674306846807856 0.765625 0.984375 0.8960171823089701 0.002168708058495006
9.1 11.0 0.7150366631922898 15.0 0.2703819521214169 0.29817474725437754 0.8960912826586276 0.0582 2.06 0.259 0.0688 0.07755465060472488 0.7325138449668884 0.2859543410262891 0.012904632997519093 0.8125 0.984375 0.8995081499169435 0.0017696476349069658
10.1 8.0 0.5301073015104105 14.0 0.6633904350024682 0.4171415034819532 0.8500473280935974 0.129 3.91 0.769 1.09 0.15123586356639862 1.6542338132858276 0.4493405121777739 0.1516691197156162 0.140625 0.984375 0.8329786129568106 0.041468449759829794
11.1 13.0 0.6699005116099191 8.0 0.27576641594596324 0.29786315877680425 0.8975907533017514 0.0910 0.976 0.291 0.0470 0.13266144692897797 0.52254718542099 0.2960257338626044 0.009876053445394937 0.796875 0.984375 0.9003516922757475 0.0014875400586591868
12.1 12.0 0.7935421409798258 3.0 0.1893702811080533 0.27250633172598887 0.9024065550531151 0.0634 0.413 0.189 0.00612 0.10930504649877548 0.5228691101074219 0.26441675757191013 0.008097571319546332 0.796875 0.984375 0.906061825166113 0.0014940363911362018
13.1 10.0 0.4654170121123761 0.0 0.23046843115424298 0.26364432624828665 0.9039475218920471 0.107 0.645 0.232 0.0125 0.08786065876483917 0.5015743970870972 0.25665324913071735 0.008799793423795986 0.78125 0.984375 0.9073141611295681 0.0018375203251318716
14.1 9.0 0.6092739846603369 0.0 0.17434020909488415 0.25457752463810235 0.899418828954924 0.0733 0.287 0.171 0.00295 0.07606430351734161 0.5227786898612976 0.2457911203216229 0.008464370518092346 0.796875 1.0 0.9034143999169435 0.0018610068117040045
15.1 9.0 0.7384834427524496 0.0 0.14396828469684264 0.25878364224860695 0.9027923575222511 0.0458 0.242 0.140 0.00212 0.06983622163534164 0.5307184457778931 0.24916545168629717 0.010477106366886434 0.796875 1.0 0.9068988787375415 0.001732728466773896
16.1 9.0 0.4068154711046337 0.0 0.18136648809318834 0.24190223120428897 0.9107887866063739 0.0867 0.282 0.177 0.00231 0.06015336140990257 0.5091084241867065 0.23162745518077696 0.00893115404530328 0.8125 1.0 0.9146984011627907 0.0015792197736645122
17.1 9.0 0.572731549633138 0.0 0.1461968528171005 0.24548775790098276 0.9061636430519666 0.0521 0.242 0.142 0.00185 0.05486638471484184 0.5324978828430176 0.23516056001452465 0.01053549241040409 0.828125 1.0 0.9102406042358804 0.0017600331177144498
18.1 9.0 0.7301293355815205 0.0 0.1225838857856694 0.2489003485275639 0.9078952680878553 0.0314 0.215 0.119 0.00157 0.053272224962711334 0.5443823933601379 0.2383188022566693 0.011524404626048841 0.828125 0.984375 0.9124662583056479 0.0017590929380373213
19.1 9.0 0.3705328664293996 0.0 0.1597188601491651 0.2351273569151943 0.9146927935687627 0.0717 0.247 0.156 0.00187 0.05200134962797165 0.5299488306045532 0.22515990385519605 0.009694720414295567 0.828125 1.0 0.9181828799833887 0.0014349297800029454
20.1 9.0 0.5536084677104228 0.0 0.12853839486279744 0.24119320325553417 0.9100216677433247 0.0412 0.214 0.125 0.00158 0.0480051264166832 0.553519070148468 0.23102285985701848 0.011515983646313548 0.828125 1.0 0.9138678363787376 0.0016968774020859811
21.1 9.0 0.7022306335469087 0.0 0.10780263548992852 0.24744825460660602 0.9091031438415159 0.0239 0.190 0.105 0.00140 0.04209773987531662 0.567898154258728 0.23723309393972158 0.012379373329825031 0.8125 0.984375 0.9137250830564784 0.0018534754713411257
22.1 9.0 0.3720620630515946 0.0 0.1463513591637214 0.23168928718861237 0.9161855350990525 0.0582 0.223 0.143 0.00171 0.04209773987531662 0.5565579533576965 0.22098269034177065 0.010924694793750037 0.828125 1.0 0.9199932516611296 0.0015788109663414924
23.1 9.0 0.5517751091608294 0.0 0.11764350865436758 0.23913898302909034 0.9150303707292564 0.0327 0.204 0.115 0.00153 0.039875201880931854 0.5789976716041565 0.22871459348659431 0.01242914810068866 0.828125 1.0 0.9187409156976745 0.0017280751539722014
24.1 9.0 0.7053289704116774 0.0 0.09832496472398192 0.24449208031557962 0.9117510497416019 0.0197 0.182 0.0957 0.00133 0.03963823989033699 0.5987282395362854 0.23404840100556612 0.013563218234583832 0.8125 0.984375 0.9162297549833887 0.0018000793017614806
25.1 9.0 0.3706050700059644 0.0 0.13558275840597786 0.23056310592334212 0.9190308283089291 0.0531 0.219 0.132 0.00172 0.03714166209101677 0.5840060710906982 0.22017147990741898 0.011935170764750513 0.828125 1.0 0.9227834302325582 0.0015892199484365016
26.1 9.0 0.5489388748451515 0.0 0.10745974408712722 0.2382876398616735 0.9163324540625898 0.0285 0.188 0.105 0.00143 0.035420238971710205 0.6094654202461243 0.2276310434431902 0.013403696836024465 0.828125 1.0 0.9198569871262459 0.0017092072555864467
27.1 9.0 0.6938706613433214 0.0 0.09028956446968643 0.24504466764168972 0.9160868414441574 0.0168 0.167 0.0878 0.00117 0.035330191254615784 0.6320919394493103 0.23480570409446955 0.015319113980747364 0.828125 0.984375 0.9201295161960132 0.0018714883296621172
28.1 9.0 0.3707929554360884 0.0 0.125937644169961 0.22928584647583372 0.9201355243324721 0.0456 0.208 0.124 0.00150 0.03268074616789818 0.6088360548019409 0.21800374459209185 0.013178009577959724 0.828125 1.0 0.9238930128737541 0.0015778545818438841
29.1 9.0 0.5449253313335372 0.0 0.0998050951990088 0.23914526368456857 0.9154643985070342 0.0230 0.177 0.0979 0.00124 0.03161970525979996 0.6355007886886597 0.22826937233496988 0.014683562686089661 0.828125 1.0 0.9192989514119602 0.0018733650022053647
30.1 9.0 0.6939877109763063 0.0 0.0825253011453504 0.24624462319928922 0.917439393123744 0.0129 0.156 0.0809 0.00110 0.031708862632513046 0.6586847305297852 0.23576888980876123 0.016268149813578808 0.8372093023255814 1.0 0.9208303052325582 0.0016967770436607317
31.1 9.0 0.36489698879512733 0.0 0.1189341644007701 0.22838257667091164 0.9201400104076944 0.0396 0.197 0.117 0.00154 0.029278654605150223 0.6300488710403442 0.21735075082896013 0.013909668872408777 0.84375 1.0 0.9236204838039868 0.0015057635367765282
32.1 9.0 0.5414850173725021 0.0 0.09262541315418671 0.24181058414188428 0.9182614664082688 0.0194 0.166 0.0911 0.00126 0.028213046491146088 0.6510568261146545 0.2307881847290056 0.016309205259851488 0.8372093023255814 1.0 0.9218101121262459 0.0016410326755577792
33.1 9.0 0.6857953954626013 0.0 0.07618207734093979 0.24566158493635828 0.9193706485070342 0.0114 0.157 0.0750 0.000991 0.02840486727654934 0.6709583401679993 0.23523745629271228 0.017002215089185323 0.8372093023255814 1.0 0.9223681478405316 0.0014435658775715909
34.1 9.0 0.3635776805472963 0.0 0.11108507933200494 0.22835882258727963 0.9235112959374102 0.0346 0.185 0.110 0.00146 0.025703102350234985 0.6480390429496765 0.2172880794719926 0.015073519569882664 0.84375 1.0 0.9266831914451827 0.001376406199447819
35.1 9.0 0.5376021449028711 0.0 0.0856071479098513 0.24495243267328648 0.9192259725811083 0.0161 0.155 0.0845 0.00118 0.024631155654788017 0.6756570339202881 0.23390675272925626 0.017737199737626216 0.828125 1.0 0.9223681478405316 0.0015665016475209497
36.1 9.0 0.6776044011851887 0.0 0.07028843516626666 0.24823735056467994 0.9225995011484353 0.00883 0.139 0.0687 0.000995 0.025031454861164093 0.7014033794403076 0.23797665762581996 0.018392509936807747 0.84375 1.0 0.9252945909468439 0.0012280362349663166
