#####################################################################
# Alchemist log file - simulation started at: 2024-05-06T11:16+0000 #
#####################################################################
#
# seed = 7.0, epochs = 2, areas = 3, lossThreshold = 80.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 1.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.77 2.77 2.77 0.00 2.2754886150360107 2.2754886150360107 2.2754886150360107 0.0 0.24193548387096775 0.24193548387096775 0.24193548387096775 0.0
1.1 56.0 0.3267188935230176 0.0 0.049118722099050584 0.06096333770879677 0.39816670006010807 1.63 2.80 2.75 0.0235 2.080475330352783 4.617606163024902 3.4139469116926193 1.1406254466627992 0.1935483870967742 0.5942028985507246 0.3981667000601082 0.013140330737194436
2.1 27.0 0.5661063107351462 1.0 0.06295019607764431 0.08818977118683123 0.599579964099989 1.30 1.88 1.71 0.0116 1.2544035911560059 3.6654815673828125 2.3363983907869885 0.4629401024160079 0.41935483870967744 0.7101449275362319 0.5949375542643425 0.005176333139092473
3.1 16.0 0.8262946071724097 1.0 0.07305872104378762 0.12242573426282477 0.6572641170774061 1.00 1.41 1.18 0.0159 1.1799025535583496 3.042336106300354 1.8777555184704917 0.296499938371212 0.5483870967741935 0.7741935483870968 0.6550791424564215 0.0034116808558208394
4.1 10.0 0.7138391575879521 0.0 0.13022658819931904 0.19047962200183136 0.6678920390035397 0.897 3.36 1.28 0.118 1.0859731435775757 5.071406602859497 1.8822728161300932 0.4560307884524605 0.4057971014492754 0.7971014492753623 0.6599462365591398 0.004870591692811378
5.1 8.0 0.9454829295476278 0.0 0.11199369231158365 0.2223882801197947 0.7035067234269549 0.732 1.67 0.938 0.0306 0.8831287622451782 3.6672651767730713 1.6331311602677618 0.3029128728975293 0.5797101449275363 0.7741935483870968 0.6892990716623255 0.0024066669204846377
6.1 6.0 1.1708852003018062 1.0 0.11953377713032094 0.2674754555624576 0.7090767084455725 0.573 1.14 0.746 0.0184 0.8313453793525696 3.0197585821151733 1.5086554086634092 0.2679086568079159 0.5806451612903226 0.782608695652174 0.6997720897615708 0.0026548928330532837
7.1 5.0 0.5666796029027966 0.0 0.22073012632876635 0.395868868753314 0.6886453950444132 0.693 3.47 1.05 0.131 0.7576255202293396 5.0358076095581055 1.660677936992475 0.48928222379517416 0.43478260869565216 0.782608695652174 0.6900838175382354 0.0034904319125524594
8.1 5.0 0.8135195781166354 0.0 0.16071257622043292 0.355222929418087 0.7093618513323984 0.555 1.67 0.792 0.0268 0.7576255202293396 3.6101521253585815 1.498059825173446 0.3170825772082538 0.5806451612903226 0.8064516129032258 0.7048437186936486 0.002769075670304896
9.1 5.0 1.0440379103335242 5.0 0.12214853022989185 0.32685404833928605 0.7227043736196418 0.455 1.09 0.642 0.0148 0.7169328927993774 3.0009756088256836 1.4168452455529146 0.272762437954485 0.5806451612903226 0.782608695652174 0.714164663060175 0.002320463952430595
10.1 7.0 0.6916427543102247 7.0 0.2242662207621387 0.3516067856171066 0.6378679203210941 0.651 4.42 1.18 0.967 0.7546679377555847 5.409948110580444 1.7643865522529398 1.334865312804149 0.2608695652173913 0.8225806451612904 0.6772732585320244 0.01390049425940923
11.1 15.0 0.8965275928688546 0.0 0.06573016081060523 0.142391303776315 0.6979312762973353 0.516 1.90 0.796 0.115 0.6924857497215271 3.8574278354644775 1.5220179720116513 0.5253401627839339 0.5217391304347826 0.8225806451612904 0.7088801509383558 0.0034706055235065674
12.1 11.0 1.0925763768350911 0.0 0.0645488845235758 0.16970052887472648 0.7236831852890758 0.422 1.20 0.624 0.0326 0.6740159392356873 3.0864747762680054 1.4070221044655358 0.3303734626232722 0.5967741935483871 0.7903225806451613 0.7200085153275897 0.002161808417660465
13.1 7.0 0.6971568729107579 0.0 0.09323601433918591 0.2265801623070828 0.7459426968543378 0.440 1.65 0.735 0.0340 0.7069048285484314 2.6951473355293274 1.3371543317501033 0.22416590262461766 0.6129032258064516 0.8548387096774194 0.7314875108528684 0.002530912177116509
14.1 5.0 0.924737026501033 0.0 0.10941167804474632 0.2929227394238114 0.7445009350163628 0.360 1.02 0.592 0.0147 0.6536250114440918 2.4653390645980835 1.2965027362640416 0.22472975281658564 0.6129032258064516 0.8115942028985508 0.7371810926334068 0.002102319014210277
15.1 4.0 1.0779345369794304 0.0 0.1171691681962878 0.3499682644947565 0.7499485184443109 0.297 0.789 0.496 0.0115 0.644633412361145 2.513209819793701 1.2776011249848775 0.2282699139458498 0.6290322580645161 0.8115942028985508 0.7391346089627997 0.0023770900268705016
16.1 4.0 0.6727698899598585 0.0 0.1731333116162291 0.35178785009257907 0.7483076018314447 0.464 1.67 0.770 0.120 0.6681530475616455 2.3842843770980835 1.3061653732189111 0.1731147657563024 0.5483870967741935 0.8260869565217391 0.7391930474854739 0.002592909956126931
17.1 4.0 0.8976717426752051 0.0 0.13486945715849286 0.3444447433867026 0.7531556802244039 0.380 1.06 0.588 0.0330 0.6258288621902466 2.4620732069015503 1.2652417539751954 0.19083714623899503 0.5806451612903226 0.8405797101449275 0.7411757830762038 0.0026420883415015617
18.1 4.0 1.1280202813860443 0.0 0.11155151255661622 0.34574026567473387 0.753544783387876 0.317 0.829 0.488 0.0186 0.6219329237937927 2.5252732038497925 1.2471040261111088 0.20723217514451422 0.5967741935483871 0.8260869565217391 0.7423862953315968 0.0022950617357436025
19.1 4.0 0.630529898374031 0.0 0.16198099828616253 0.338255101252192 0.7543658446314477 0.427 1.71 0.723 0.143 0.6408876180648804 2.367125451564789 1.252405291955386 0.17259189720186258 0.5806451612903226 0.8405797101449275 0.7471323382087758 0.003066918426590731
20.1 4.0 0.8678615559927292 0.0 0.12748604936984917 0.33483367380895057 0.7565795782836456 0.348 1.11 0.552 0.0437 0.6053160429000854 2.554051697254181 1.2304696959576435 0.19594577053456783 0.5806451612903226 0.8260869565217391 0.7459802644760569 0.0025105916952808693
21.1 4.0 1.089201263152063 0.0 0.10698892389889805 0.32280208718924164 0.7645273297491039 0.290 0.896 0.459 0.0259 0.595657229423523 2.554051697254181 1.2243838040158153 0.20985595370002466 0.5806451612903226 0.8260869565217391 0.7445986108328324 0.002786701003793313
22.1 3.0 0.5058661299861139 0.0 0.18941729217422779 0.4053287004396595 0.7690899174068879 0.393 0.895 0.586 0.0132 0.595657229423523 2.360169231891632 1.1571103878585354 0.18273870245628926 0.6451612903225806 0.855072463768116 0.7666508047819408 0.002154526407836996
23.1 3.0 0.771674276329577 0.0 0.1551232136785984 0.407669793676447 0.7645998909147576 0.319 0.747 0.482 0.0110 0.573403537273407 2.4883485436439514 1.162162714770862 0.1953219275933394 0.6451612903225806 0.8405797101449275 0.7612661123355373 0.0021918063128901124
24.1 3.0 1.0250822385359142 0.0 0.13189127891738384 0.41337497497874276 0.7596423562412341 0.266 0.638 0.409 0.00922 0.576257050037384 2.562889039516449 1.1775529198348522 0.21011690698551264 0.6290322580645161 0.8405797101449275 0.7560567354571562 0.002291836765086018
25.1 3.0 0.50850468273792 0.0 0.18178908490679332 0.39586658246332296 0.7730637369487298 0.368 0.808 0.559 0.00992 0.5791548490524292 2.3685973286628723 1.127448304290218 0.18777809702164025 0.6451612903225806 0.8870967741935484 0.771113003406131 0.0020502070826244815
26.1 3.0 0.7638566001421876 0.0 0.14849706601903395 0.39858581318899433 0.7688074645472961 0.299 0.682 0.458 0.00761 0.5633208155632019 2.5161332488059998 1.1346898962344443 0.19780664203627296 0.6451612903225806 0.8709677419354839 0.7656406531757163 0.0022644526954019666
27.1 3.0 0.997505616551886 0.0 0.1253731081598542 0.4042553944961616 0.7651940158952781 0.250 0.587 0.388 0.00647 0.5692585110664368 2.5800175070762634 1.1509748102564896 0.2099881892849285 0.6451612903225806 0.8405797101449275 0.7621593868964135 0.0022582478933697247
28.1 3.0 0.5061003517863961 0.0 0.1736967623975404 0.391215661023226 0.7746415770609318 0.361 0.760 0.536 0.00917 0.5659402012825012 2.3930498361587524 1.1133367443191156 0.20065208649600125 0.6612903225806451 0.8405797101449275 0.7727534562211982 0.0018671512124717393
29.1 3.0 0.7719516395720549 0.0 0.14192666704766452 0.3952506486050509 0.7713690197911797 0.291 0.641 0.439 0.00726 0.5520033836364746 2.5459460020065308 1.1244666688144207 0.21035604169325595 0.6451612903225806 0.8548387096774194 0.7680282842449743 0.002215062789136445
30.1 3.0 1.0070256187140736 0.0 0.11969868651315292 0.40118937033952934 0.7661192925042855 0.244 0.551 0.371 0.00617 0.5591734647750854 2.6012284755706787 1.1417221204776848 0.22066651069217116 0.6451612903225806 0.855072463768116 0.7621844319775596 0.0025500219001027475
31.1 3.0 0.5034481634599312 0.0 0.16427543580325113 0.3833582810540166 0.7836605890603084 0.359 0.768 0.507 0.00986 0.5397757291793823 2.3986682295799255 1.090199614076742 0.2007395442181839 0.6612903225806451 0.8870967741935484 0.7820201362452415 0.0017818898609844752
