#####################################################################
# Alchemist log file - simulation started at: 2024-04-24T08:39+0000 #
#####################################################################
#
# seed = 7.0, areas = 2, dataShuffle = true, lossThreshold = 120.0
#
# The columns have the following meaning: 
# time AreaCount AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy AreaDiscrepancy0 AreaDiscrepancy1 TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 1.0 0.0 NaN NaN NaN  NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.2162209380373481 2.0 0.0 NaN NaN NaN 0.0 2.27 2.27 2.27 0.00 2.288992404937744 2.288992404937744 2.288992404937744 0.0 0.0 0.0 0.0 0.0
1.216220938037348 11.0 0.0 0.20876359988835233 0.20772654162950752 0.045454545454545456 0.0 0.0 2.24 2.35 2.29 0.000830 2.2512903213500977 2.358785629272461 2.2839048306147256 9.579007465621351E-4 0.0 0.5 0.041666666666666664 0.02083333333333333
2.216220938037348 6.0 0.0 0.37679156495465177 0.3737440738413069 0.125 0.0 2.21 2.30 2.26 0.000693 2.167835235595703 2.3235507011413574 2.2460439006487527 0.003081258214421747 0.0 0.5 0.125 0.05113636363636364
3.216220938037348 2.0 4.0 1.121270228515972 1.1044461510398171 0.09090909090909091 0.0 2.11 2.31 2.23 0.00437 1.9782631397247314 2.3477468490600586 2.211212078730265 0.008442905835505428 0.0 0.5 0.16666666666666669 0.060606060606060615
4.216220938037348 1.0 5.0 2.2006465196609497 2.1593993306159973 0.3333333333333333 0.0 2.05 2.27 2.20 0.00553 1.7248690128326416 2.2676029205322266 2.1593993306159973 0.024849052101104843 0.0 1.0 0.3333333333333333 0.10606060606060606
5.216220938037348 1.0 5.0 2.2917087574799857 2.269082009792328 0.125 0.0 2.15 2.43 2.29 0.00828 2.0794153213500977 2.377246379852295 2.269082009792328 0.00847048795795305 0.0 1.0 0.125 0.09659090909090909
6.216220938037348 1.0 5.0 2.2505641082922616 2.210532009601593 0.125 0.0 2.13 2.33 2.25 0.00540 2.004401922225952 2.356112003326416 2.210532009601593 0.014975220731645063 0.0 0.5 0.125 0.05113636363636364
7.216220938037348 1.0 5.0 2.3063882092634835 2.2256561319033303 0.25 0.0 2.08 2.52 2.31 0.0195 2.0077219009399414 2.4315195083618164 2.2256561319033303 0.02338933851099081 0.0 1.0 0.25 0.1590909090909091
8.216220938037349 1.0 5.0 2.2368603547414145 2.1777701377868652 0.16666666666666666 0.0 2.07 2.41 2.24 0.0178 1.8200454711914062 2.395297050476074 2.1777701377868652 0.03845306056232609 0.0 0.5 0.16666666666666669 0.060606060606060615
9.216220938037349 1.0 5.0 2.3454429308573403 2.2473509311676025 0.16666666666666666 0.0 1.99 2.94 2.35 0.102 1.8766157627105713 2.5217738151550293 2.2473509311676025 0.05474328551235885 0.0 1.0 0.16666666666666669 0.10606060606060602
10.216220938037349 1.0 5.0 2.2142361253499985 2.1613701482613883 0.041666666666666664 0.0 1.97 2.53 2.21 0.0460 1.5840411186218262 2.4289422035217285 2.1613701482613883 0.06257999560011082 0.0 0.5 0.04166666666666667 0.02083333333333333
11.216220938037349 1.0 5.0 2.3605486005544662 2.2231158018112183 0.16666666666666666 0.0 1.93 3.06 2.36 0.201 1.6941418647766113 2.9641213417053223 2.2231158018112183 0.183822937107922 0.0 0.5 0.16666666666666669 0.060606060606060615
12.216220938037349 1.0 5.0 2.193450709184011 2.155755748351415 0.041666666666666664 0.0 1.63 2.70 2.19 0.117 1.701695203781128 2.644726276397705 2.155755748351415 0.10464276357251756 0.0 0.5 0.04166666666666667 0.02083333333333333
13.216220938037349 1.0 5.0 2.4384159793456397 2.2825054625670114 0.08333333333333333 0.0 1.68 3.56 2.44 0.462 1.5209522247314453 3.3360559940338135 2.2825054625670114 0.2990080891458316 0.0 0.5 0.08333333333333334 0.03787878787878787
14.216220938037349 1.0 5.0 2.2386414955059686 2.1385701298713684 0.125 0.0 1.72 3.19 2.24 0.227 1.6336361169815063 2.7579312324523926 2.1385701298713684 0.17057805938473017 0.0 0.5 0.125 0.05113636363636364
15.216220938037349 1.0 5.0 2.5302219688892365 2.256939878066381 0.08333333333333333 0.0 1.75 4.02 2.53 0.729 1.205288052558899 2.9624953269958496 2.256939878066381 0.332556720539738 0.0 1.0 0.08333333333333334 0.08333333333333331
16.21622093803735 1.0 5.0 2.3329638093709946 2.160940945148468 0.125 0.0 1.75 3.24 2.33 0.307 1.5429425239562988 2.7703521251678467 2.160940945148468 0.22118853136481545 0.0 0.5 0.125 0.05113636363636364
17.21622093803735 1.0 5.0 2.529785230755806 2.311380902926127 0.08333333333333333 0.0 1.72 4.01 2.53 0.613 1.4017844200134277 2.9955058097839355 2.311380902926127 0.2545511629671578 0.0 1.0 0.08333333333333331 0.08333333333333331
18.21622093803735 1.0 5.0 2.2294290413459144 2.252685397863388 0.125 0.0 1.57 3.07 2.23 0.276 1.5733890533447266 3.01035737991333 2.252685397863388 0.20073248950044426 0.0 0.5 0.125 0.05113636363636364
19.21622093803735 1.0 5.0 2.4885989973942437 2.253235379854838 0.125 0.0 1.61 4.07 2.49 0.636 1.0355972051620483 3.755215883255005 2.253235379854838 0.5689367857933258 0.0 0.5 0.125 0.05113636363636364
20.21622093803735 1.0 5.0 2.2779994755983353 2.1336146692434945 0.16666666666666666 0.0 1.65 3.22 2.28 0.312 1.6996181011199951 3.0395491123199463 2.1336146692434945 0.2097097193449957 0.0 0.5 0.16666666666666669 0.060606060606060615
21.21622093803735 1.0 5.0 2.465704768896103 2.347715159257253 0.08333333333333333 0.0 1.44 4.14 2.47 0.792 1.5057141780853271 3.567234516143799 2.347715159257253 0.5633467462004474 0.0 0.5 0.08333333333333334 0.03787878787878786
22.21622093803735 1.0 5.0 2.2510142624378204 2.0238076746463776 0.2916666666666667 0.0 1.37 3.38 2.25 0.422 1.0371050834655762 2.923215389251709 2.0238076746463776 0.35886602149771724 0.0 1.0 0.29166666666666663 0.1571969696969697
23.21622093803735 1.0 5.0 2.58233850200971 2.48121178150177 0.16666666666666666 0.0 1.41 4.92 2.58 1.08 1.6231706142425537 4.283688545227051 2.48121178150177 0.5479395089842466 0.0 0.5 0.16666666666666669 0.060606060606060615
24.21622093803735 1.0 5.0 2.3583167443672814 2.1127388775348663 0.3333333333333333 0.0 1.64 4.07 2.36 0.474 1.1704082489013672 3.0303213596343994 2.1127388775348663 0.35443306966768745 0.0 1.0 0.33333333333333337 0.15151515151515152
25.21622093803735 1.0 5.0 2.6772769590218863 2.262135793765386 0.20833333333333334 0.0 1.43 5.25 2.68 1.48 1.058808445930481 3.58445405960083 2.262135793765386 0.6787090557311988 0.0 1.0 0.20833333333333331 0.11174242424242425
