#####################################################################
# Alchemist log file - simulation started at: 2024-05-14T12:06+0000 #
#####################################################################
#
# seed = 7.0, areas = 3, lossThreshold = 80.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.77 2.77 2.77 0.00 2.2754886150360107 2.2754886150360107 2.2754886150360107 0.0 0.24193548387096775 0.24193548387096775 0.24193548387096775 0.0
1.1 56.0 0.3267188935230176 0.0 2.7471456977228326 3.6141216912203364 0.41143641888733057 1.63 2.80 2.75 0.0235 2.080475330352783 4.617606163024902 3.4139469116926193 1.1406254466627992 0.1935483870967742 0.5942028985507246 0.3981667000601082 0.013140330737194436
2.1 12.0 0.5661063107351462 9.0 1.6930239474193918 2.45743012179931 0.6000077918030232 1.30 1.88 1.71 0.0116 1.2544035911560059 3.6654815673828125 2.3363983907869885 0.4629401024160079 0.41935483870967744 0.7101449275362319 0.5949375542643425 0.005176333139092473
3.1 2.0 0.8275223527517584 5.0 1.151479568477306 1.9692688973413572 0.6598683185289077 1.00 1.41 1.17 0.0153 1.1799025535583496 3.042336106300354 1.8777895718812943 0.2964713836636767 0.5483870967741935 0.7741935483870968 0.6550791424564215 0.0034116808558208394
4.1 5.0 0.8259916874683566 8.0 1.2904485881949466 2.010939859267738 0.654394576905096 0.795 1.86 1.32 0.0755 1.1562694311141968 3.0924826860427856 1.9248837094221796 0.295171913067425 0.5161290322580645 0.7903225806451613 0.6489472717558271 0.004944997142163474
5.1 5.0 1.0190578109274309 10.0 0.941678924444649 1.7364368504948084 0.6858832008726821 0.611 1.39 0.968 0.0372 0.9099980592727661 2.7871590852737427 1.659288118992533 0.2399494960455463 0.5645161290322581 0.7903225806451613 0.6814098711013157 0.002843329278064676
6.1 7.0 1.2242756040973797 6.0 0.7381853750492963 1.5929018151428964 0.7009116409537167 0.489 1.10 0.760 0.0226 0.8654273152351379 2.635392904281616 1.519453990672316 0.2255843206757765 0.5806451612903226 0.7903225806451613 0.6969795632137848 0.002480646826633699
7.1 8.0 0.7661753694733812 0.0 0.9541535261914963 1.6684993201245863 0.6979020570359982 0.461 1.44 0.985 0.0633 0.7811993360519409 2.7000356912612915 1.5955978860812527 0.23558772237242584 0.5967741935483871 0.8115942028985508 0.6940158952781673 0.0027838225598120483
8.1 3.0 0.9666965240353925 0.0 0.7408358435974352 1.5406325745085876 0.7118980832164562 0.378 1.13 0.766 0.0353 0.7811993360519409 2.594078540802002 1.4690220249550683 0.21722688880526492 0.5806451612903226 0.7971014492753623 0.7077405997462098 0.00291023339084885
9.1 3.0 1.1649914485298924 0.0 0.6050775912693805 1.4679744099784227 0.7207125603864736 0.311 1.12 0.627 0.0253 0.7304171919822693 2.5594913959503174 1.3974561411887407 0.21709961880837267 0.5806451612903226 0.8115942028985508 0.7159679089026915 0.0029633057972340074
10.1 3.0 0.7167700716397828 0.0 0.7944658967355888 1.4997636748270855 0.7125019479507557 0.510 1.14 0.824 0.0295 0.8274141550064087 2.4854888916015625 1.433023959930454 0.20042427852516911 0.5645161290322581 0.8064516129032258 0.7082581980898951 0.0028857346484896544
11.1 3.0 0.9398296975220243 0.0 0.6373969679180946 1.4301434574234815 0.7228066074489637 0.407 0.938 0.661 0.0186 0.7439776659011841 2.4690921306610107 1.3627166479293789 0.20419625218987963 0.5806451612903226 0.8064516129032258 0.718530855539972 0.0028191744012953605
12.1 3.0 1.1582058440479968 0.0 0.5319005710900658 1.3965614880952568 0.7307737260402057 0.386 0.793 0.550 0.0124 0.7089097499847412 2.4943809509277344 1.3282510744673865 0.2126719500189992 0.5806451612903226 0.8115942028985508 0.7267039003539705 0.002641101876757965
13.1 3.0 0.7009028778928851 0.0 0.7403854733643432 1.4196657952335148 0.7294880785413745 0.457 1.08 0.769 0.0269 0.81434166431427 2.4715901613235474 1.357120227600847 0.18247495151896476 0.5967741935483871 0.8387096774193549 0.725697922927937 0.002699015721888873
14.1 3.0 0.9299923972123199 0.0 0.5977143046342664 1.3756663520923922 0.7367052360916316 0.411 0.849 0.620 0.0160 0.7382208704948425 2.4617457389831543 1.311007925708379 0.1951300272555759 0.5967741935483871 0.8387096774193549 0.7330361317037334 0.0024806940165665817
15.1 3.0 1.0625455691996548 0.0 0.49874364348749317 1.3541277296220262 0.7397245597631291 0.338 0.754 0.517 0.0121 0.7012852430343628 2.4899446964263916 1.2885387164673634 0.20762834933807225 0.5967741935483871 0.8405797101449275 0.7356241234221599 0.002672128459302736
16.1 3.0 0.6170699607787861 0.0 0.6811308229652543 1.3323349812999368 0.7450814243415925 0.455 1.07 0.708 0.0276 0.7233361005783081 2.48130065202713 1.2757998840617284 0.17284593836382417 0.5645161290322581 0.8405797101449275 0.7403117277766647 0.003070414313588563
17.1 3.0 0.8512066159811286 0.0 0.5527997682491937 1.3106801462256246 0.7488994078229702 0.370 0.878 0.574 0.0174 0.6699270606040955 2.4823848009109497 1.2507759699864045 0.18622562698107634 0.5806451612903226 0.8405797101449275 0.744832364923529 0.002631343796963651
18.1 3.0 1.0990135178176892 0.0 0.4664829272621622 1.3023149084506762 0.7491331619136669 0.307 0.742 0.484 0.0127 0.6536195278167725 2.5085337162017822 1.2408227699675731 0.1976442910506214 0.6129032258064516 0.8405797101449275 0.7447447071395178 0.0025300132266356597
19.1 3.0 0.5675314380075887 0.0 0.6378216284016768 1.268083450384438 0.7581521739130433 0.425 0.995 0.659 0.0185 0.6664786338806152 2.4900083541870117 1.2118965682706662 0.17083898522163668 0.6290322580645161 0.8548387096774194 0.7540113871635611 0.0028558478624891993
20.1 3.0 0.8004768479279138 0.0 0.5210720034367922 1.2625560383312404 0.7551328502415457 0.346 0.826 0.539 0.0131 0.624507486820221 2.570622980594635 1.2033983252144285 0.18867014968085807 0.6290322580645161 0.8405797101449275 0.7514233954451346 0.002560763748073064
21.1 3.0 1.0242090753745288 0.0 0.4383665152308014 1.265923779613028 0.7518213339566775 0.288 0.703 0.454 0.0105 0.6261983513832092 2.570622980594635 1.2052443624873246 0.19883963962334822 0.6290322580645161 0.855072463768116 0.7482009283376745 0.0024263939268222576
22.1 3.0 0.5467822240510335 0.0 0.5863422153414124 1.2315445088574457 0.7653498519557426 0.401 0.896 0.604 0.0124 0.6261983513832092 2.3473010659217834 1.1728302912254418 0.18100689705343023 0.6129032258064516 0.8548387096774194 0.7621009483737394 0.002721926239157326
