#####################################################################
# Alchemist log file - simulation started at: 2024-05-09T21:47+0000 #
#####################################################################
#
# seed = 7.0, areas = 9, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 0.0 Infinity 0.0 NaN NaN NaN 2.39 2.39 2.39 0.00 1.300152063369751 1.300152063369751 1.300152063369751 0.0 0.8604651162790697 0.8604651162790697 0.8604651162790697 0.0
1.1 1.0 0.1953386795465593 20.0 2.4273467601081475 1.4008917944666779 0.749485222868217 0.991 2.65 2.43 0.0459 0.5016602873802185 1.674790620803833 1.4012827820011549 0.037318650098447675 0.453125 0.9534883720930233 0.7596488268272426 0.015608122593729913
2.1 12.0 0.32906739238971544 23.0 0.9062278618491848 0.5794538879468116 0.8447492732558141 0.394 1.10 0.898 0.0138 0.3664622902870178 0.7451137900352478 0.56695085976805 0.01018828291603416 0.75 0.9534883720930233 0.8518220514950166 0.002931760345184832
3.1 30.0 0.4826064755519231 9.0 0.4339304657101079 0.39866619281194826 0.8662947710307206 0.260 0.623 0.420 0.00557 0.2064802348613739 0.5658576488494873 0.38579124797667774 0.009145132410735363 0.765625 0.9767441860465116 0.8717556063122923 0.0027722623847218223
4.1 29.0 0.6289448597364955 1.0 0.9809248119539011 0.5708333303531011 0.823716309575079 0.149 5.15 0.863 1.31 0.1573180854320526 2.287910223007202 0.523228770121932 0.1845686448206539 0.0 0.9767441860465116 0.8338156665282391 0.029474437948576862
5.1 11.0 0.7346044722714542 0.0 0.3820489689941545 0.36774068380947467 0.8805997433964972 0.114 1.31 0.350 0.0654 0.13194604218006134 0.7318708896636963 0.3492093280489955 0.019214993030308353 0.796875 0.9767441860465116 0.886796615448505 0.0026496104134803447
6.1 10.0 0.8286847249593263 0.0 0.2562614525687486 0.3192028728900132 0.8865314563594603 0.0719 0.584 0.238 0.0139 0.11662791669368744 0.5102033019065857 0.3067512198218278 0.010880017671588683 0.796875 0.9767441860465116 0.8920979547342193 0.0022317490971531426
7.1 9.0 0.4847926177360394 0.0 0.3195319172673295 0.31866678922080705 0.8914986631495836 0.0705 0.667 0.323 0.0193 0.09661287814378738 0.5198571085929871 0.3129987398694668 0.01086867626288679 0.765625 0.9767441860465116 0.8954461690199336 0.0025464158445569693
8.1 9.0 0.6184079069414257 0.0 0.2272841691656552 0.29244158996476066 0.8943921816681022 0.0399 0.375 0.221 0.00469 0.07882663607597351 0.5034884214401245 0.28512754450951305 0.00933333661524956 0.78125 0.9767441860465116 0.8979573297342193 0.0020777994014292557
9.1 9.0 0.7453449907494178 0.0 0.18427014402152184 0.2827496913572152 0.896610545865633 0.0222 0.309 0.177 0.00360 0.06586222350597382 0.5031679272651672 0.27498505876532625 0.009473164147104396 0.796875 0.984375 0.9007475083056479 0.002099234520634179
10.1 9.0 0.3687383491131994 0.0 0.22435056631464834 0.27037011694025115 0.9047404356876257 0.0863 0.390 0.216 0.00406 0.061749935150146484 0.468916118144989 0.2613079308399132 0.009382714248476639 0.796875 0.984375 0.9089493355481728 0.002190718191607609
11.1 9.0 0.5400046312514646 0.0 0.18070472453897168 0.26519111702563586 0.90628588860178 0.0481 0.315 0.174 0.00288 0.05226394161581993 0.4797510802745819 0.256848811238472 0.00947018826214138 0.8125 0.984375 0.910766196013289 0.0020445435087323442
12.1 9.0 0.6771955769739032 0.0 0.15243927071373065 0.2651425092538566 0.9066279518374964 0.0276 0.269 0.146 0.00251 0.04484773054718971 0.4823714792728424 0.2573357199850891 0.009938001965697432 0.8125 0.984375 0.9099356312292359 0.0019519170978257794
13.1 9.0 0.37586493192263587 0.0 0.19054954232161278 0.2551353782139442 0.9093700653172553 0.0810 0.313 0.185 0.00262 0.04687716066837311 0.4537469744682312 0.2468165449265923 0.00940981633025269 0.8125 0.984375 0.9139716569767442 0.0018799716389233726
14.1 9.0 0.5386494701659238 0.0 0.15560545647083762 0.2557543895586773 0.9118340421332185 0.0517 0.264 0.151 0.00223 0.03960289806127548 0.47714242339134216 0.24782985355705023 0.009914367839831306 0.828125 0.984375 0.9153732350498339 0.0017976147972118127
15.1 9.0 0.6812490852158746 0.0 0.1313224091834615 0.258933223714983 0.9086007034165949 0.0341 0.228 0.127 0.00201 0.03432381525635719 0.47714242339134216 0.2514321762137115 0.010383351306088402 0.8125 1.0 0.9124403031561462 0.0019907824306026243
16.1 9.0 0.36278197753392616 0.0 0.16910500777022983 0.24714239169326094 0.91043326514499 0.0775 0.289 0.165 0.00222 0.03565924987196922 0.45814505219459534 0.23886862257495522 0.010039255006339093 0.828125 1.0 0.914672446013289 0.0018599153870357266
17.1 9.0 0.5429688489271536 0.0 0.1372456116824116 0.2501781721380942 0.9125551787252368 0.0514 0.242 0.133 0.00193 0.02987399511039257 0.47830072045326233 0.24236721648568552 0.010766277982897492 0.8125 1.0 0.9157885174418605 0.0019016500876548742
18.1 9.0 0.6945644584886822 0.0 0.115888517379182 0.2548925772447277 0.9114437535888603 0.0355 0.208 0.113 0.00166 0.026427481323480606 0.479365736246109 0.24759555268766623 0.011174693940468257 0.828125 1.0 0.9150877284053156 0.0018846427427316793
19.1 9.0 0.35961170081785065 0.0 0.15424235128805253 0.24342238927191057 0.9123118091444158 0.0640 0.264 0.151 0.00195 0.03037242405116558 0.47699156403541565 0.235239491565153 0.010776353420439536 0.8125 1.0 0.9164828176910299 0.0018740155957387246
20.1 9.0 0.5448761127521226 0.0 0.12427001285659907 0.2485171728709966 0.910435508182601 0.0452 0.221 0.122 0.00172 0.025117669254541397 0.49155330657958984 0.24059088993817568 0.01161733649942065 0.8125 1.0 0.9142571636212624 0.0019147374093380581
