#####################################################################
# Alchemist log file - simulation started at: 2024-05-06T15:33+0000 #
#####################################################################
#
# seed = 0.0, areas = 9, lossThreshold = 80.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 0.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.45 2.45 2.45 0.00 1.4353487491607666 1.4353487491607666 1.4353487491607666 0.0 0.8372093023255814 0.8372093023255814 0.8372093023255814 0.0
1.1 56.0 0.19719718097720618 0.0 0.04300546424770664 0.024599067610213344 0.7360101744186046 0.875 2.63 2.41 0.0500 0.45892074704170227 1.8772836923599243 1.3775477861719472 0.03660694846121156 0.234375 0.9375 0.7360101744186046 0.028582071966111903
2.1 19.0 0.33247798037381826 0.0 0.03423161823440277 0.02105338510779822 0.8696933698568874 0.335 1.16 0.876 0.0182 0.24851830303668976 0.793868362903595 0.5412052271089384 0.014479418355824161 0.75 0.9767441860465116 0.8636705772425249 0.0038315498930955125
3.1 9.0 0.4895111629624425 0.0 0.021298027142398486 0.019129559412832516 0.8850195073439412 0.251 0.638 0.404 0.00897 0.19748666882514954 0.5932146906852722 0.369021152811391 0.010839647420735229 0.78125 0.984375 0.882079267026578 0.0025879361956988645
4.1 7.0 0.35977950986520746 0.0 0.03761476840690476 0.03274957691999178 0.8840705382311487 0.196 0.818 0.420 0.0267 0.17248058319091797 0.5895390510559082 0.3623507395386696 0.012804145868056852 0.765625 0.984375 0.8805349356312292 0.0027944744350419967
5.1 7.0 0.5154510453159427 0.0 0.027760623365045624 0.0312502903263602 0.8880203286498709 0.109 0.498 0.271 0.00869 0.11620727926492691 0.5181072354316711 0.30993127064513304 0.010414017189898418 0.78125 0.984375 0.8904498027408638 0.0022202812286405047
6.1 7.0 0.6637724187271093 0.0 0.024305677687417957 0.03337415705328943 0.8879019523399367 0.0534 0.389 0.205 0.00558 0.0955907553434372 0.4969382584095001 0.2891337754470961 0.010281912928075392 0.765625 0.984375 0.8936617524916943 0.00235532349993503
7.1 7.0 0.3500420912916278 0.0 0.034315212899295226 0.034301842834969114 0.8899733975739306 0.0970 0.736 0.282 0.0222 0.08800092339515686 0.509584903717041 0.2932712225509541 0.011884262568823122 0.78125 1.0 0.8951931063122923 0.002220026109892676
8.1 7.0 0.5257005991391194 0.0 0.023843343733121296 0.0318387466162157 0.8932987008326155 0.0802 0.390 0.201 0.00665 0.08658815175294876 0.48085376620292664 0.2757821125643594 0.010063336329632674 0.796875 0.984375 0.8992356208471761 0.0020765597326625096
9.1 7.0 0.6765547919052618 0.0 0.019245440026719227 0.031118016143231078 0.8934871159919608 0.0515 0.339 0.162 0.00485 0.07300665229558945 0.49041464924812317 0.2700681231383767 0.010890309652844168 0.796875 0.984375 0.8995081499169435 0.00209430581162411
10.1 7.0 0.3683394177092446 0.0 0.029920239456314772 0.03186801963055249 0.8988333961383864 0.0740 0.735 0.242 0.0259 0.08346889168024063 0.5087370276451111 0.2707912485514369 0.013573010911754078 0.78125 1.0 0.9046602470930233 0.002241611916780108
11.1 7.0 0.5659363634056516 0.0 0.020779682829453146 0.03029215922489742 0.8998988390037324 0.0472 0.432 0.173 0.00808 0.07172810286283493 0.49206188321113586 0.2615718562155962 0.01099854516319501 0.828125 0.9767441860465116 0.9055037894518272 0.0018872754258812024
12.1 7.0 0.7080508834785886 0.0 0.016854901748352098 0.03025540321125088 0.9018760766580534 0.0301 0.337 0.140 0.00546 0.062125399708747864 0.5110684037208557 0.2622819655973997 0.011852202462704263 0.828125 1.0 0.9074569144518272 0.0018958540777899429
13.1 7.0 0.37502863552467325 0.0 0.027649143820387495 0.030671566770768457 0.9024020689778927 0.0502 0.735 0.222 0.0284 0.06701517850160599 0.5084471702575684 0.2603357933195574 0.014860047205399636 0.78125 0.984375 0.9077294435215947 0.0022413396500741015
14.1 7.0 0.5577276663647758 0.0 0.019282647310866867 0.02959788688017753 0.9054840026557566 0.0261 0.432 0.159 0.00950 0.05733193829655647 0.5113497376441956 0.2545460609586111 0.01244101259813692 0.828125 0.984375 0.9110711690199336 0.001792466765816617
15.1 7.0 0.7390923157886222 0.0 0.015756705946673964 0.029745577005426738 0.9059684987797875 0.0125 0.488 0.130 0.00766 0.05101713165640831 0.5347514152526855 0.2580300333377506 0.013068615209259699 0.828125 1.0 0.9109349044850499 0.001798565480013328
16.1 7.0 0.3680993772031348 0.0 0.026126529523510036 0.030177643167465643 0.9046664154464542 0.0383 0.735 0.209 0.0302 0.05513957142829895 0.5084547400474548 0.25593006264950546 0.015906088473964172 0.78125 1.0 0.9098188330564784 0.00219665875876
17.1 7.0 0.5573494425158442 0.0 0.018021078315803254 0.029246846929356068 0.9074107719638244 0.0182 0.432 0.148 0.0103 0.04813088849186897 0.5405811071395874 0.2516753988207451 0.013296816363358334 0.828125 1.0 0.9131605585548173 0.0019466358267955257
18.1 7.0 0.7130157699187597 0.0 0.014459379494964612 0.02923050540434234 0.9116063738156761 0.0154 0.338 0.119 0.00640 0.04398662969470024 0.565926194190979 0.25389087885352113 0.013393923929081671 0.828125 1.0 0.9162297549833887 0.0016833133671653852
19.1 7.0 0.37206595216268373 0.0 0.024166268460969104 0.02957655201999493 0.9078492858168246 0.0304 0.735 0.194 0.0276 0.04681342467665672 0.5254442691802979 0.25171633111312985 0.015890304995460156 0.78125 1.0 0.912609011627907 0.0020206762946187126
20.1 7.0 0.5632797080425569 0.0 0.017118251277953578 0.02898955677057245 0.9115076801607809 0.0178 0.432 0.140 0.0109 0.04156525805592537 0.5648647546768188 0.24969008704647422 0.013655302840987238 0.828125 1.0 0.9166450373754153 0.0019934026386125704
21.1 7.0 0.7137625666312231 0.0 0.01363481410427364 0.029104176826969266 0.9127592951478611 0.00759 0.338 0.112 0.00678 0.038062162697315216 0.5914970636367798 0.2531266306926097 0.014238609813762878 0.828125 1.0 0.9178973733388704 0.0017359824204482902
22.1 7.0 0.3666742828525143 0.0 0.024312087045756783 0.029807595927038306 0.9097693260120585 0.0262 0.735 0.193 0.0327 0.0427272692322731 0.5434994101524353 0.2531388143875769 0.017166677344477327 0.78125 1.0 0.9151071947674418 0.002326904488932131
23.1 7.0 0.5500568425581779 0.0 0.01644342411704984 0.02889751132184177 0.9116478700114844 0.0153 0.432 0.134 0.0115 0.03810788318514824 0.5884847640991211 0.24890774308836888 0.014511406565619719 0.828125 1.0 0.9171965843023255 0.002072719275948455
24.1 7.0 0.707537305391865 0.0 0.0133792924480517 0.02922837692983601 0.912768267298306 0.00647 0.488 0.109 0.00907 0.03495197370648384 0.6044020652770996 0.2544509421900979 0.014958154003854248 0.828125 1.0 0.9173523151993356 0.0015412821025553246
25.1 7.0 0.36535037658464764 0.0 0.02355766186822175 0.029737312321146164 0.9103480297157621 0.0251 0.735 0.186 0.0335 0.03899816423654556 0.5613495111465454 0.2528013963518398 0.017647079132318735 0.78125 1.0 0.9159442483388704 0.0022445097931028894
26.1 7.0 0.5491997664909305 0.0 0.015760844432344087 0.028865050889848025 0.9133817380849842 0.0138 0.432 0.128 0.0120 0.0348389558494091 0.6079075932502747 0.24885935449440563 0.014776979543948004 0.828125 1.0 0.9190069559800664 0.0020223360454909825
27.1 7.0 0.6950797134159523 0.0 0.01253185355375503 0.028880026436759614 0.9138774493970714 0.00596 0.338 0.102 0.00742 0.03270420432090759 0.6233250498771667 0.2517847509256431 0.01493709897160555 0.828125 1.0 0.9181893687707641 0.0016028388568232739
28.1 7.0 0.37141679034188946 0.0 0.022004321818084552 0.029492437773076266 0.912662844530577 0.0235 0.735 0.176 0.0303 0.03632041811943054 0.5731313228607178 0.25160848069936037 0.017416881390861606 0.78125 1.0 0.9178973733388704 0.00202895117044829
29.1 7.0 0.5451693860469041 0.0 0.015246270710354242 0.028869310623885678 0.9140064240597187 0.0120 0.432 0.124 0.0124 0.03170958533883095 0.6229109764099121 0.24914538534358144 0.01532498088367597 0.828125 1.0 0.9197012562292359 0.0018303500350284772
30.1 7.0 0.6931380233095017 0.0 0.012052452302097427 0.028940408924959898 0.914890180878553 0.00506 0.338 0.0980 0.00775 0.030533554032444954 0.6340917348861694 0.2523965215909162 0.0154343382648227 0.828125 1.0 0.9193054401993356 0.001672091914811798
31.1 10.0 0.3617137345818826 0.0 0.027186442808557823 0.02685295046381882 0.8893582445090439 0.0217 0.735 0.177 0.0351 0.035968173295259476 0.5843047499656677 0.25335590042439954 0.018373340132006383 0.78125 1.0 0.9170603197674418 0.002265598352072987
32.1 11.0 0.540568633855861 0.0 0.016263699683770904 0.024415779304776897 0.896988217323428 0.0104 0.432 0.120 0.0127 0.030215775594115257 0.6343632340431213 0.2490962656281356 0.015482386469021683 0.828125 1.0 0.9191497093023255 0.0018121694696764832
33.1 8.0 0.6865998907589619 0.0 0.012442175045297394 0.02574721855069514 0.9011270040521494 0.00422 0.338 0.0940 0.00794 0.030042463913559914 0.6394204497337341 0.2533670815838767 0.015337587590641105 0.828125 1.0 0.9190264223421927 0.0015950910234883689
34.1 14.0 0.3932741690932968 0.0 0.0186320527159437 0.021860052820911757 0.9001094442137321 0.0202 0.497 0.144 0.0158 0.03556443750858307 0.5957667827606201 0.24377975519746542 0.015478893233252234 0.8125 1.0 0.920265780730897 0.0019217181716336665
35.1 11.0 0.5664554371693988 0.0 0.014462211772162432 0.024646746262367483 0.9134265988372092 0.00919 0.382 0.106 0.00904 0.028709182515740395 0.650449275970459 0.24565788255339224 0.015118439829661521 0.828125 1.0 0.9212390988372093 0.0016675420470678253
