#####################################################################
# Alchemist log file - simulation started at: 2024-05-06T10:37+0000 #
#####################################################################
#
# seed = 6.0, epochs = 2, areas = 3, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaCorrectness AverageLossTraining AverageLossValidation AverageAccuracy TrainLoss[min] TrainLoss[max] TrainLoss[mean] TrainLoss[variance] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] ValidationLoss[variance] ValidationAccuracy[min] ValidationAccuracy[max] ValidationAccuracy[mean] ValidationAccuracy[variance] 
0.0 1.0 Infinity 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.1 1.0 Infinity 0.0 NaN NaN NaN 2.87 2.87 2.87 0.00 2.29868483543396 2.29868483543396 2.29868483543396 0.0 0.3548387096774194 0.3548387096774194 0.3548387096774194 0.0
1.1 21.0 0.32911319823728663 8.0 0.1309656514280327 0.16348418446985594 0.3638875902550517 1.62 2.91 2.78 0.0292 2.2787604331970215 4.860652685165405 3.48646308694567 1.031292868865299 0.12903225806451613 0.6811594202898551 0.3668019101048554 0.015741476951001924
2.1 46.0 0.574723088906871 4.0 0.038579941365607294 0.05388448289733453 0.5844059766516928 1.41 2.03 1.79 0.0224 1.5974011421203613 3.4824949502944946 2.3915868422814777 0.3856776315370548 0.41935483870967744 0.7391304347826086 0.5760368663594471 0.006405978180220905
3.1 38.0 0.849828607092301 2.0 0.03254151390942841 0.049274436269550546 0.6571868105279565 0.900 1.50 1.24 0.0266 1.2986747026443481 2.8954341411590576 1.8643498761313302 0.21572391573102526 0.41935483870967744 0.8115942028985508 0.6566110665865225 0.006141936650349338
4.1 26.0 0.8127838557379113 0.0 0.05259864546020591 0.07299949122956519 0.6527037556490574 0.978 3.32 1.31 0.175 1.081131100654602 4.176300764083862 1.8845272383519582 0.3716994979170122 0.24193548387096775 0.8260869565217391 0.661198490616443 0.008233873701919553
5.1 37.0 1.0457852259278297 0.0 0.024649616423382044 0.047409588026686954 0.719484666995186 0.689 1.90 0.962 0.0409 0.9043127298355103 2.7669135332107544 1.5719258742673057 0.20904604572450272 0.532258064516129 0.855072463768116 0.6961864689774928 0.004999390334452071
6.1 33.0 1.268326601220502 0.0 0.02277939854823178 0.04587400391501756 0.7192955737836524 0.475 1.34 0.759 0.0209 0.8139519691467285 2.3897308111190796 1.4115797212081296 0.16779182658083985 0.5806451612903226 0.8548387096774194 0.7092224337140186 0.004021981924413525
7.1 20.0 1.3655730394853487 0.0 0.03593653529913475 0.07095220827807983 0.7314788842138071 0.356 1.50 0.769 0.0686 0.7679057717323303 2.3506312370300293 1.347700362758977 0.14303550472481555 0.5806451612903226 0.8709677419354839 0.7194658719027583 0.004245099191351323
8.1 17.0 1.5537453012333975 0.0 0.034992325093249135 0.07449255394305089 0.7269839960294543 0.282 1.12 0.625 0.0374 0.6975310444831848 2.362361192703247 1.2700665252549308 0.15519727084485907 0.6129032258064516 0.9032258064516129 0.730489881787217 0.004089531173253822
9.1 12.0 1.7353310411175091 0.0 0.04384800408142694 0.09713584702048038 0.734278877906157 0.231 0.923 0.525 0.0256 0.6562574505805969 2.397528111934662 1.2291608830647809 0.16757973363933804 0.6129032258064516 0.8709677419354839 0.7348936418887331 0.003705272189446579
10.1 9.0 1.3686107339130507 0.0 0.07621860933915517 0.12558059714458608 0.7472430003636175 0.359 0.931 0.669 0.0237 0.7072128057479858 2.1897047758102417 1.2007600675736154 0.15023136909346677 0.6612903225806451 0.8709677419354839 0.7545498564082014 0.0027065740589283537
