#####################################################################
# Alchemist log file - simulation started at: 2024-05-08T17:21+0000 #
#####################################################################
#
# seed = 3.0, areas = 9, lossThreshold = 20.0
#
# The columns have the following meaning: 
# time AreaCount Discrepancy AreaId LeaderId ValidationLoss ValidationAccuracy SameLeader 
0.0 0.0 Infinity 0.0 0.0 NaN NaN 0.0
0.1 0.0 Infinity 0.0 0.0 NaN NaN 0.0
1.1 1.0 0.1995244229373373 0.0 0.0 1.552071452140808 0.9302325581395349 1.0
2.1 19.0 0.3359235165479742 0.0 8.0 0.4252918064594269 0.9767441860465116 0.0
3.1 32.0 0.4990388790766398 0.0 15.0 0.17561939358711243 0.9767441860465116 0.0
4.1 22.0 0.6528042543265555 0.0 2.0 0.1700516641139984 0.9767441860465116 0.0
5.1 13.0 0.7738245882737784 0.0 2.0 0.10669513046741486 0.9767441860465116 1.0
6.1 10.0 0.8909308956361112 0.0 15.0 0.08326931297779083 0.9767441860465116 0.0
7.1 9.0 0.5248084310212253 0.0 15.0 0.2089674472808838 0.9069767441860465 1.0
8.1 9.0 0.6704251399010787 0.0 15.0 0.19807440042495728 0.9069767441860465 1.0
9.1 9.0 0.8046426033716143 0.0 15.0 0.19314584136009216 0.9302325581395349 1.0
10.1 9.0 0.4152909952549287 0.0 15.0 0.18049289286136627 0.9069767441860465 1.0
11.1 9.0 0.5709379182185657 0.0 15.0 0.17975440621376038 0.9069767441860465 1.0
12.1 9.0 0.7288332801174235 0.0 15.0 0.18124018609523773 0.9302325581395349 1.0
13.1 9.0 0.39999518238100007 0.0 15.0 0.15961827337741852 0.9069767441860465 1.0
14.1 9.0 0.5787776758641372 0.0 15.0 0.16346389055252075 0.9302325581395349 1.0
15.1 9.0 0.7184394120802114 0.0 15.0 0.16785821318626404 0.9534883720930233 1.0
16.1 9.0 0.3865436122005368 0.0 15.0 0.3273528516292572 0.8837209302325582 1.0
17.1 9.0 0.5693202076870718 0.0 15.0 0.34491392970085144 0.8837209302325582 1.0
18.1 9.0 0.7225347161109066 0.0 15.0 0.3817081153392792 0.9069767441860465 1.0
19.1 9.0 0.39010926521854633 0.0 15.0 0.34335729479789734 0.8837209302325582 1.0
20.1 10.0 0.6127132418872607 1.0 56.0 4.6538004875183105 0.0 0.0
21.1 9.0 0.7532463735478686 1.0 11.0 1.2761203050613403 0.671875 0.0
22.1 9.0 0.39198014546166016 1.0 11.0 0.27839919924736023 0.890625 1.0
23.1 9.0 0.5733004849555211 1.0 11.0 0.29731112718582153 0.875 1.0
24.1 9.0 0.7099180600131211 1.0 11.0 0.3228932023048401 0.859375 1.0
25.1 9.0 0.4128538939898186 1.0 11.0 0.3090219795703888 0.859375 1.0
26.1 9.0 0.5885733053403557 1.0 11.0 0.3090219795703888 0.859375 1.0
27.1 9.0 0.7366803292270481 1.0 11.0 0.3339603841304779 0.875 1.0
28.1 9.0 0.4116108660081917 1.0 11.0 0.31150102615356445 0.859375 1.0
29.1 9.0 0.5833379921669262 1.0 11.0 0.3410869538784027 0.859375 1.0
30.1 9.0 0.7307686465389935 1.0 11.0 0.32904374599456787 0.84375 1.0
31.1 9.0 0.3682871566957267 1.0 11.0 0.3196275234222412 0.859375 1.0
32.1 9.0 0.5472090297511646 1.0 11.0 0.31671860814094543 0.859375 1.0
33.1 9.0 0.6945777835038603 1.0 11.0 0.17630954086780548 0.921875 1.0
34.1 9.0 0.37138470680152297 1.0 11.0 0.17731888592243195 0.921875 1.0
35.1 9.0 0.5471478243484909 1.0 11.0 0.20965033769607544 0.921875 1.0
36.1 9.0 0.6941929134873696 1.0 11.0 0.2190283238887787 0.921875 1.0
37.1 10.0 0.4154445054617298 2.0 56.0 4.931581974029541 0.0 0.0
38.1 9.0 0.587523291928848 2.0 5.0 2.1565675735473633 0.234375 0.0
39.1 9.0 0.7326766033599407 2.0 5.0 1.1897833347320557 0.515625 1.0
40.1 9.0 0.408813811694083 2.0 5.0 0.2843831181526184 0.921875 1.0
41.1 9.0 0.569892813131292 2.0 5.0 0.2991899251937866 0.921875 1.0
42.1 9.0 0.6938469423871402 2.0 5.0 0.30581098794937134 0.921875 1.0
43.1 9.0 0.3955495142405836 2.0 5.0 0.291585236787796 0.921875 1.0
44.1 9.0 0.5614045401887288 2.0 5.0 0.3250468969345093 0.921875 1.0
45.1 9.0 0.6963953886976108 2.0 5.0 0.3305262327194214 0.921875 1.0
46.1 9.0 0.3936391448901023 2.0 5.0 0.12162338197231293 0.96875 1.0
47.1 9.0 0.552224741936571 2.0 5.0 0.14114198088645935 0.96875 1.0
48.1 9.0 0.6749051480276455 2.0 5.0 0.15787561237812042 0.96875 1.0
49.1 9.0 0.3566023067980216 2.0 5.0 0.12461033463478088 0.96875 1.0
50.1 9.0 0.5291275217261895 2.0 5.0 0.5509202480316162 0.84375 1.0
51.1 9.0 0.6704735532534396 2.0 5.0 0.6153603196144104 0.859375 1.0
52.1 9.0 0.35308699151484635 2.0 5.0 0.5993643999099731 0.859375 1.0
53.1 9.0 0.5196576454008173 2.0 5.0 0.66502845287323 0.859375 1.0
54.1 9.0 0.6535865591553153 2.0 5.0 0.7044610977172852 0.859375 1.0
55.1 10.0 0.39780233959080996 5.0 56.0 5.558974266052246 0.0 0.0
56.1 9.0 0.5704566123919984 5.0 5.0 1.9557758569717407 0.296875 0.0
57.1 10.0 0.6786086798121584 5.0 56.0 1.0591626167297363 0.6875 0.0
58.1 9.0 0.4076400370759202 5.0 26.0 0.7023229598999023 0.859375 0.0
59.1 9.0 0.5642038130413288 5.0 26.0 0.47583526372909546 0.859375 1.0
